id,category_id,name,item_variant,description,value_good,value_very_good,value_excellent,source_reference,date_of_valuation,search_keywords,original_description
29,1,Speakers (Pair),,Speakers (Pair),25.21,30.62,36.02,ItsDeductible 2024,2024-01-01,automotive supplies speakers (pair),Automotive: Speakers (Pair)
30,1,Steering Wheel Cover,,Steering Wheel Cover,25.99,31.56,37.13,ItsDeductible 2024,2024-01-01,automotive supplies steering wheel cover,Automotive: Steering Wheel Cover
31,1,Subwoofer,,Subwoofer,29.95,36.37,42.79,ItsDeductible 2024,2024-01-01,automotive supplies subwoofer,Automotive: Subwoofer
32,1,Sun Shade,,Sun Shade,9.6,11.66,13.72,ItsDeductible 2024,2024-01-01,automotive supplies sun shade,Automotive: Sun Shade
33,1,Tire Pressure Gauge,,Tire Pressure Gauge,3.4,4.13,4.86,ItsDeductible 2024,2024-01-01,automotive supplies tire pressure gauge,Automotive: Tire Pressure Gauge
34,1,VHS Player,,VHS Player,23.51,28.55,33.59,ItsDeductible 2024,2024-01-01,automotive supplies vhs player,Automotive: VHS Player
35,1,Window Decal,,Window Decal,3.57,4.34,5.1,ItsDeductible 2024,2024-01-01,automotive supplies window decal,Automotive: Window Decal
36,2,Baby Monitor,Audio,Baby Monitor: Audio,11.75,14.27,16.78,ItsDeductible 2024,2024-01-01,baby gear monitor audio,Baby Monitor: Audio
37,2,Baby Monitor,Movement,Baby Monitor: Movement,16.93,20.56,24.18,ItsDeductible 2024,2024-01-01,baby gear monitor movement,Baby Monitor: Movement
38,2,Baby Monitor,Video,Baby Monitor: Video,22.16,26.91,31.65,ItsDeductible 2024,2024-01-01,baby gear monitor video,Baby Monitor: Video
39,2,Baby Rattle,,Baby Rattle,1.95,2.37,2.78,ItsDeductible 2024,2024-01-01,baby gear rattle,Baby Rattle
40,2,Baby Scale,,Baby Scale,12.77,15.51,18.24,ItsDeductible 2024,2024-01-01,baby gear scale,Baby Scale
41,2,Bassinet,,Bassinet,20.36,24.73,29.09,ItsDeductible 2024,2024-01-01,baby gear bassinet,Bassinet
42,2,Bath Mitt,,Bath Mitt,2.88,3.5,4.12,ItsDeductible 2024,2024-01-01,baby gear bath mitt,Bath Mitt
43,2,Bath Seat,,Bath Seat,8.86,10.76,12.66,ItsDeductible 2024,2024-01-01,baby gear bath seat,Bath Seat
44,2,Bib,,Bib,2.21,2.68,3.15,ItsDeductible 2024,2024-01-01,baby gear bib,Bib
45,2,Booster Seat,,Booster Seat,12.48,15.16,17.83,ItsDeductible 2024,2024-01-01,baby gear booster seat,Booster Seat
46,2,Boppy Pillow,,Boppy Pillow,5.71,6.94,8.16,ItsDeductible 2024,2024-01-01,baby gear boppy pillow,Boppy Pillow
47,2,Bottle Dryer,,Bottle Dryer,7.76,9.42,11.08,ItsDeductible 2024,2024-01-01,baby gear bottle dryer,Bottle Dryer
48,2,Bottle Sterilizer,Countertop,Bottle Sterilizer: Countertop,11.66,14.16,16.66,ItsDeductible 2024,2024-01-01,baby gear bottle sterilizer countertop,Bottle Sterilizer: Countertop
49,2,Bottle Sterilizer,Electric,Bottle Sterilizer: Electric,10.03,12.18,14.33,ItsDeductible 2024,2024-01-01,baby gear bottle sterilizer electric,Bottle Sterilizer: Electric
50,2,Bottle Sterilizer,Microwave,Bottle Sterilizer: Microwave,6.15,7.47,8.78,ItsDeductible 2024,2024-01-01,baby gear bottle sterilizer microwave,Bottle Sterilizer: Microwave
51,2,Bottle Warmer,Travel,Bottle Warmer: Travel,7.92,9.62,11.31,ItsDeductible 2024,2024-01-01,baby gear bottle warmer travel,Bottle Warmer: Travel
52,2,Bouncer,,Bouncer,15.85,19.25,22.64,ItsDeductible 2024,2024-01-01,baby gear bouncer,Bouncer
53,2,Bowl,,Bowl,2.45,2.98,3.5,ItsDeductible 2024,2024-01-01,baby gear bowl,Bowl
54,2,Breast Pump,Electric,Breast Pump: Electric,29.75,36.13,42.5,ItsDeductible 2024,2024-01-01,baby gear breast pump electric,Breast Pump: Electric
55,2,Breast Pump,Manual,Breast Pump: Manual,10.93,13.27,15.61,ItsDeductible 2024,2024-01-01,baby gear breast pump manual,Breast Pump: Manual
56,2,Busy Box,,Busy Box,6.94,8.43,9.91,ItsDeductible 2024,2024-01-01,baby gear busy box,Busy Box
57,2,Car Seat,Attachable Toy,Car Seat: Attachable Toy,5.06,6.15,7.23,ItsDeductible 2024,2024-01-01,baby gear car seat attachable toy,Car Seat: Attachable Toy
58,2,Car Seat,Cover,Car Seat: Cover,8.04,9.77,11.49,ItsDeductible 2024,2024-01-01,baby gear car seat cover,Car Seat: Cover
59,2,Car Seat,Head Rest,Car Seat: Head Rest,3.74,4.54,5.34,ItsDeductible 2024,2024-01-01,baby gear car seat head rest,Car Seat: Head Rest
60,2,Car Seat,Mat,Car Seat: Mat,2.11,2.56,3.01,ItsDeductible 2024,2024-01-01,baby gear car seat mat,Car Seat: Mat
61,2,Carrier,Back Pack,Carrier: Back Pack,12.63,15.34,18.04,ItsDeductible 2024,2024-01-01,baby gear carrier back pack,Carrier: Back Pack
62,2,Carrier,Front Pack,Carrier: Front Pack,10.92,13.26,15.6,ItsDeductible 2024,2024-01-01,baby gear carrier front pack,Carrier: Front Pack
63,2,Carrier,Sling,Carrier: Sling,10.08,12.24,14.4,ItsDeductible 2024,2024-01-01,baby gear carrier sling,Carrier: Sling
64,2,Changing Pad,,Changing Pad,7.08,8.6,10.12,ItsDeductible 2024,2024-01-01,baby gear changing pad,Changing Pad
65,2,Changing Table,,Changing Table,36.61,44.46,52.3,ItsDeductible 2024,2024-01-01,baby gear changing table,Changing Table
66,2,Crib Kick Toy,,Crib Kick Toy,6.83,8.29,9.75,ItsDeductible 2024,2024-01-01,baby gear crib kick toy,Crib Kick Toy
67,2,Crib Light,,Crib Light,6.97,8.46,9.95,ItsDeductible 2024,2024-01-01,baby gear crib light,Crib Light
68,2,Crib Mattress,,Crib Mattress,15.75,19.13,22.5,ItsDeductible 2024,2024-01-01,baby gear crib mattress,Crib Mattress
69,2,Crib Mirror,,Crib Mirror,9.7,11.78,13.85,ItsDeductible 2024,2024-01-01,baby gear crib mirror,Crib Mirror
70,2,Crib,Full-Size,Crib: Full-Size,25.08,30.46,35.83,ItsDeductible 2024,2024-01-01,baby gear crib full size,Crib: Full-Size
71,2,Crib,Portable,Crib: Portable,14.31,17.38,20.44,ItsDeductible 2024,2024-01-01,baby gear crib portable,Crib: Portable
72,2,Diaper Bag,,Diaper Bag,10.29,12.5,14.7,ItsDeductible 2024,2024-01-01,baby gear diaper bag,Diaper Bag
73,2,Diaper Cover (Decorative),,Diaper Cover (Decorative),3.33,4.05,4.76,ItsDeductible 2024,2024-01-01,baby gear diaper cover (decorative),Diaper Cover (Decorative)
74,2,Diaper Genie,,Diaper Genie,8.3,10.08,11.86,ItsDeductible 2024,2024-01-01,baby gear diaper genie,Diaper Genie
75,2,Diaper Pail,,Diaper Pail,8.42,10.23,12.03,ItsDeductible 2024,2024-01-01,baby gear diaper pail,Diaper Pail
76,2,Diaper Stacker,,Diaper Stacker,5.23,6.35,7.47,ItsDeductible 2024,2024-01-01,baby gear diaper stacker,Diaper Stacker
77,2,Dish Set,,Dish Set,4.73,5.74,6.75,ItsDeductible 2024,2024-01-01,baby gear dish set,Dish Set
78,2,Dishwasher Basket,,Dishwasher Basket,3.0,3.64,4.28,ItsDeductible 2024,2024-01-01,baby gear dishwasher basket,Dishwasher Basket
79,2,Guard Rail,,Guard Rail,11.89,14.44,16.98,ItsDeductible 2024,2024-01-01,baby gear guard rail,Guard Rail
80,2,Highchair,,Highchair,12.96,15.74,18.52,ItsDeductible 2024,2024-01-01,baby gear highchair,Highchair
81,2,Hooded Towel,,Hooded Towel,4.34,5.27,6.2,ItsDeductible 2024,2024-01-01,baby gear hooded towel,Hooded Towel
82,2,Infant Bathtub,,Infant Bathtub,8.14,9.89,11.63,ItsDeductible 2024,2024-01-01,baby gear infant bathtub,Infant Bathtub
83,2,Infant Swing,,Infant Swing,19.89,24.16,28.42,ItsDeductible 2024,2024-01-01,baby gear infant swing,Infant Swing
84,2,Jogging Stroller,Double,Jogging Stroller: Double,63.27,76.83,90.38,ItsDeductible 2024,2024-01-01,baby gear jogging stroller double,Jogging Stroller: Double
85,2,Jogging Stroller,Single,Jogging Stroller: Single,37.46,45.49,53.51,ItsDeductible 2024,2024-01-01,baby gear jogging stroller single,Jogging Stroller: Single
86,2,Jogging Stroller,Triple,Jogging Stroller: Triple,87.16,105.84,124.51,ItsDeductible 2024,2024-01-01,baby gear jogging stroller triple,Jogging Stroller: Triple
87,2,Jumper,,Jumper,13.32,16.18,19.03,ItsDeductible 2024,2024-01-01,baby gear jumper,Jumper
88,2,Mobile,,Mobile,8.27,10.05,11.82,ItsDeductible 2024,2024-01-01,baby gear mobile,Mobile
89,2,Moses Basket,,Moses Basket,17.24,20.94,24.63,ItsDeductible 2024,2024-01-01,baby gear moses basket,Moses Basket
90,2,Plate,,Plate,2.88,3.5,4.12,ItsDeductible 2024,2024-01-01,baby gear plate,Plate
91,2,Play Mat,,Play Mat,10.94,13.29,15.63,ItsDeductible 2024,2024-01-01,baby gear play mat,Play Mat
92,2,Play Pen,,Play Pen,17.33,21.05,24.76,ItsDeductible 2024,2024-01-01,baby gear play pen,Play Pen
93,2,Potty Chair,,Potty Chair,8.76,10.64,12.51,ItsDeductible 2024,2024-01-01,baby gear potty chair,Potty Chair
94,2,Remote Control Crib Toy,,Remote Control Crib Toy,7.44,9.04,10.63,ItsDeductible 2024,2024-01-01,baby gear remote control crib toy,Remote Control Crib Toy
95,2,Safety Gate,Mounted,Safety Gate: Mounted,16.69,20.27,23.84,ItsDeductible 2024,2024-01-01,baby gear safety gate mounted,Safety Gate: Mounted
96,2,Safety Gate,Pressure,Safety Gate: Pressure,12.74,15.47,18.2,ItsDeductible 2024,2024-01-01,baby gear safety gate pressure,Safety Gate: Pressure
97,2,Saucer,,Saucer,6.81,8.27,9.73,ItsDeductible 2024,2024-01-01,baby gear saucer,Saucer
98,2,Shopping Cart Cover,,Shopping Cart Cover,5.88,7.14,8.4,ItsDeductible 2024,2024-01-01,baby gear shopping cart cover,Shopping Cart Cover
99,2,Sippy Cup,,Sippy Cup,3.33,4.05,4.76,ItsDeductible 2024,2024-01-01,baby gear sippy cup,Sippy Cup
100,2,Spoon & Fork (Set),,Spoon & Fork (Set),2.88,3.5,4.12,ItsDeductible 2024,2024-01-01,baby gear spoon fork (set),Spoon & Fork (Set)
101,2,Stroller,Attachable Toy,Stroller: Attachable Toy,3.81,4.63,5.44,ItsDeductible 2024,2024-01-01,baby gear stroller attachable toy,Stroller: Attachable Toy
102,2,Stroller,Double,Stroller: Double,40.65,49.36,58.07,ItsDeductible 2024,2024-01-01,baby gear stroller double,Stroller: Double
103,2,Stroller,Drink Holder,Stroller: Drink Holder,2.11,2.56,3.01,ItsDeductible 2024,2024-01-01,baby gear stroller drink holder,Stroller: Drink Holder
104,2,Stroller,Insect Net,Stroller: Insect Net,4.63,5.62,6.61,ItsDeductible 2024,2024-01-01,baby gear stroller insect net,Stroller: Insect Net
105,2,Stroller,Single,Stroller: Single,38.97,47.32,55.67,ItsDeductible 2024,2024-01-01,baby gear stroller single,Stroller: Single
106,2,Stroller,Triple,Stroller: Triple,67.71,82.22,96.73,ItsDeductible 2024,2024-01-01,baby gear stroller triple,Stroller: Triple
107,2,Thermometer,,Thermometer,5.43,6.59,7.75,ItsDeductible 2024,2024-01-01,baby gear thermometer,Thermometer
108,2,Toddler Bed Frame,,Toddler Bed Frame,14.31,17.38,20.44,ItsDeductible 2024,2024-01-01,baby gear toddler bed frame,Toddler Bed Frame
109,2,Umbrella Stroller,Double,Umbrella Stroller: Double,31.57,38.34,45.1,ItsDeductible 2024,2024-01-01,baby gear umbrella stroller double,Umbrella Stroller: Double
110,2,Umbrella Stroller,Single,Umbrella Stroller: Single,13.44,16.32,19.2,ItsDeductible 2024,2024-01-01,baby gear umbrella stroller single,Umbrella Stroller: Single
111,2,Walker,,Walker,13.32,16.18,19.03,ItsDeductible 2024,2024-01-01,baby gear walker,Walker
112,2,Wipe Warmer,,Wipe Warmer,9.22,11.2,13.17,ItsDeductible 2024,2024-01-01,baby gear wipe warmer,Wipe Warmer
113,3,Afghan,,Afghan,15.0,18.22,21.43,ItsDeductible 2024,2024-01-01,bedding linens afghan,Afghan
114,3,Apron,,Apron,5.52,6.7,7.88,ItsDeductible 2024,2024-01-01,bedding linens apron,Apron
115,3,Bed Spread,Full/Queen,Bed Spread: Full/Queen,14.64,17.78,20.92,ItsDeductible 2024,2024-01-01,bedding linens bed spread full/queen,Bed Spread: Full/Queen
116,3,Bed Spread,King,Bed Spread: King,17.05,20.7,24.35,ItsDeductible 2024,2024-01-01,bedding linens bed spread king,Bed Spread: King
117,3,Bed Spread,Set: Full,Bed Spread: Set: Full,18.53,22.5,26.47,ItsDeductible 2024,2024-01-01,bedding linens bed spread set full,Bed Spread: Set: Full
118,3,Bed Spread,Set: King,Bed Spread: Set: King,28.61,34.74,40.87,ItsDeductible 2024,2024-01-01,bedding linens bed spread set king,Bed Spread: Set: King
119,3,Bed Spread,Set: Queen,Bed Spread: Set: Queen,19.2,23.32,27.43,ItsDeductible 2024,2024-01-01,bedding linens bed spread set queen,Bed Spread: Set: Queen
120,3,Bed Spread,Set: Twin,Bed Spread: Set: Twin,15.59,18.93,22.27,ItsDeductible 2024,2024-01-01,bedding linens bed spread set twin,Bed Spread: Set: Twin
121,3,Bed Spread,Twin,Bed Spread: Twin,10.56,12.83,15.09,ItsDeductible 2024,2024-01-01,bedding linens bed spread twin,Bed Spread: Twin
122,3,Blanket,Acrylic,Blanket: Acrylic,9.22,11.2,13.17,ItsDeductible 2024,2024-01-01,bedding linens blanket acrylic,Blanket: Acrylic
123,3,Blanket,Down,Blanket: Down,16.41,19.93,23.44,ItsDeductible 2024,2024-01-01,bedding linens blanket down,Blanket: Down
124,3,Blanket,Electric: Full,Blanket: Electric: Full,14.5,17.61,20.71,ItsDeductible 2024,2024-01-01,bedding linens blanket electric full,Blanket: Electric: Full
125,3,Blanket,Electric: King,Blanket: Electric: King,18.3,22.22,26.14,ItsDeductible 2024,2024-01-01,bedding linens blanket electric king,Blanket: Electric: King
126,3,Blanket,Electric: Queen,Blanket: Electric: Queen,17.77,21.58,25.38,ItsDeductible 2024,2024-01-01,bedding linens blanket electric queen,Blanket: Electric: Queen
127,3,Blanket,Electric: Twin,Blanket: Electric: Twin,14.16,17.2,20.23,ItsDeductible 2024,2024-01-01,bedding linens blanket electric twin,Blanket: Electric: Twin
128,3,Blanket,Flannel,Blanket: Flannel,8.04,9.76,11.48,ItsDeductible 2024,2024-01-01,bedding linens blanket flannel,Blanket: Flannel
129,3,Blanket,Fleece,Blanket: Fleece,7.08,8.6,10.12,ItsDeductible 2024,2024-01-01,bedding linens blanket fleece,Blanket: Fleece
130,3,Blanket,Thermal,Blanket: Thermal,10.3,12.51,14.72,ItsDeductible 2024,2024-01-01,bedding linens blanket thermal,Blanket: Thermal
131,3,Chair Pads (4 Pc Set),,Chair Pads (4 Pc Set),9.11,11.07,13.02,ItsDeductible 2024,2024-01-01,bedding linens chair pads (4 pc set),Chair Pads (4 Pc Set)
132,3,Comforter,Full/Queen,Comforter: Full/Queen,20.88,25.36,29.83,ItsDeductible 2024,2024-01-01,bedding linens comforter full/queen,Comforter: Full/Queen
133,3,Comforter,King,Comforter: King,25.68,31.19,36.69,ItsDeductible 2024,2024-01-01,bedding linens comforter king,Comforter: King
134,3,Comforter,Twin,Comforter: Twin,18.72,22.73,26.74,ItsDeductible 2024,2024-01-01,bedding linens comforter twin,Comforter: Twin
135,3,Crib/Toddler Bedding,Bumper Pad,Crib/Toddler Bedding: Bumper Pad,9.24,11.22,13.2,ItsDeductible 2024,2024-01-01,bedding linens crib/toddler bumper pad,Crib/Toddler Bedding: Bumper Pad
136,3,Crib/Toddler Bedding,Fitted Sheet,Crib/Toddler Bedding: Fitted Sheet,6.74,8.19,9.63,ItsDeductible 2024,2024-01-01,bedding linens crib/toddler fitted sheet,Crib/Toddler Bedding: Fitted Sheet
137,3,Crib/Toddler Bedding,Mattress Pad,Crib/Toddler Bedding: Mattress Pad,8.23,10.0,11.76,ItsDeductible 2024,2024-01-01,bedding linens crib/toddler mattress pad,Crib/Toddler Bedding: Mattress Pad
138,3,Crib/Toddler Bedding,Quilt/Comforter,Crib/Toddler Bedding: Quilt/Comforter,10.55,12.81,15.07,ItsDeductible 2024,2024-01-01,bedding linens crib/toddler quilt/comforter,Crib/Toddler Bedding: Quilt/Comforter
139,3,Crib/Toddler Bedding,Skirt/Dust Ruffle,Crib/Toddler Bedding: Skirt/Dust Ruffle,6.94,8.43,9.91,ItsDeductible 2024,2024-01-01,bedding linens crib/toddler skirt/dust ruffle,Crib/Toddler Bedding: Skirt/Dust Ruffle
140,3,Dinner Napkins (Set),,Dinner Napkins (Set),5.25,6.38,7.5,ItsDeductible 2024,2024-01-01,bedding linens dinner napkins (set),Dinner Napkins (Set)
141,3,Dish Towel,,Dish Towel,2.93,3.56,4.19,ItsDeductible 2024,2024-01-01,bedding linens dish towel,Dish Towel
142,3,Duvet Cover,Full/Queen,Duvet Cover: Full/Queen,18.48,22.44,26.4,ItsDeductible 2024,2024-01-01,bedding linens duvet cover full/queen,Duvet Cover: Full/Queen
143,3,Duvet Cover,King,Duvet Cover: King,23.41,28.43,33.44,ItsDeductible 2024,2024-01-01,bedding linens duvet cover king,Duvet Cover: King
144,3,Duvet Cover,Twin,Duvet Cover: Twin,12.94,15.71,18.48,ItsDeductible 2024,2024-01-01,bedding linens duvet cover twin,Duvet Cover: Twin
145,3,Mattress Pad,Full,Mattress Pad: Full,13.24,16.08,18.91,ItsDeductible 2024,2024-01-01,bedding linens mattress pad full,Mattress Pad: Full
146,3,Mattress Pad,King,Mattress Pad: King,24.63,29.91,35.19,ItsDeductible 2024,2024-01-01,bedding linens mattress pad king,Mattress Pad: King
147,3,Mattress Pad,Queen,Mattress Pad: Queen,18.05,21.92,25.78,ItsDeductible 2024,2024-01-01,bedding linens mattress pad queen,Mattress Pad: Queen
148,3,Mattress Pad,Twin,Mattress Pad: Twin,11.17,13.56,15.95,ItsDeductible 2024,2024-01-01,bedding linens mattress pad twin,Mattress Pad: Twin
149,3,Mattress Pad,Twin Extra Long,Mattress Pad: Twin Extra Long,12.28,14.91,17.54,ItsDeductible 2024,2024-01-01,bedding linens mattress pad twin extra long,Mattress Pad: Twin Extra Long
150,3,Napkin Rings (Set),,Napkin Rings (Set),4.66,5.66,6.65,ItsDeductible 2024,2024-01-01,bedding linens napkin rings (set),Napkin Rings (Set)
151,3,Nursery,Receiving Blanket,Nursery: Receiving Blanket,6.36,7.73,9.09,ItsDeductible 2024,2024-01-01,bedding linens nursery receiving blanket,Nursery: Receiving Blanket
152,3,Nursery,Waterproof Crib Pad,Nursery: Waterproof Crib Pad,5.01,6.09,7.16,ItsDeductible 2024,2024-01-01,bedding linens nursery waterproof crib pad,Nursery: Waterproof Crib Pad
153,3,Nursery,Waterproof Lap Pad,Nursery: Waterproof Lap Pad,3.61,4.38,5.15,ItsDeductible 2024,2024-01-01,bedding linens nursery waterproof lap pad,Nursery: Waterproof Lap Pad
154,3,Nursery,Waterproof Seat/Stroller Pad,Nursery: Waterproof Seat/Stroller Pad,6.13,7.44,8.75,ItsDeductible 2024,2024-01-01,bedding linens nursery waterproof seat/stroller pad,Nursery: Waterproof Seat/Stroller Pad
155,3,Oven Mitt,,Oven Mitt,3.74,4.54,5.34,ItsDeductible 2024,2024-01-01,bedding linens oven mitt,Oven Mitt
156,3,Pillow,,Pillow,8.63,10.48,12.33,ItsDeductible 2024,2024-01-01,bedding linens pillow,Pillow
157,3,Pillow Sham,,Pillow Sham,7.7,9.35,11.0,ItsDeductible 2024,2024-01-01,bedding linens pillow sham,Pillow Sham
158,3,Pillowcases (Pair),,Pillowcases (Pair),5.08,6.17,7.26,ItsDeductible 2024,2024-01-01,bedding linens pillowcases (pair),Pillowcases (Pair)
159,3,Placemats (Set),,Placemats (Set),6.84,8.31,9.77,ItsDeductible 2024,2024-01-01,bedding linens placemats (set),Placemats (Set)
160,3,Pot Holder,,Pot Holder,2.93,3.56,4.18,ItsDeductible 2024,2024-01-01,bedding linens pot holder,Pot Holder
161,3,Quilt,Full/Queen,Quilt: Full/Queen,28.45,34.55,40.64,ItsDeductible 2024,2024-01-01,bedding linens quilt full/queen,Quilt: Full/Queen
162,3,Quilt,King,Quilt: King,38.3,46.51,54.71,ItsDeductible 2024,2024-01-01,bedding linens quilt king,Quilt: King
163,3,Quilt,Twin,Quilt: Twin,17.91,21.75,25.59,ItsDeductible 2024,2024-01-01,bedding linens quilt twin,Quilt: Twin
164,3,Sheet Set,Full,Sheet Set: Full,12.12,14.72,17.31,ItsDeductible 2024,2024-01-01,bedding linens sheet set full,Sheet Set: Full
165,3,Sheet Set,King,Sheet Set: King,18.28,22.2,26.11,ItsDeductible 2024,2024-01-01,bedding linens sheet set king,Sheet Set: King
166,3,Sheet Set,Queen,Sheet Set: Queen,14.36,17.44,20.52,ItsDeductible 2024,2024-01-01,bedding linens sheet set queen,Sheet Set: Queen
167,3,Sheet Set,Twin,Sheet Set: Twin,10.42,12.65,14.88,ItsDeductible 2024,2024-01-01,bedding linens sheet set twin,Sheet Set: Twin
168,3,Sheet,Fitted: Full,Sheet: Fitted: Full,12.56,15.25,17.94,ItsDeductible 2024,2024-01-01,bedding linens sheet fitted full,Sheet: Fitted: Full
169,3,Sheet,Fitted: King,Sheet: Fitted: King,15.96,19.38,22.8,ItsDeductible 2024,2024-01-01,bedding linens sheet fitted king,Sheet: Fitted: King
170,3,Sheet,Fitted: Queen,Sheet: Fitted: Queen,14.64,17.78,20.92,ItsDeductible 2024,2024-01-01,bedding linens sheet fitted queen,Sheet: Fitted: Queen
171,3,Sheet,Fitted: Twin,Sheet: Fitted: Twin,8.4,10.2,12.0,ItsDeductible 2024,2024-01-01,bedding linens sheet fitted twin,Sheet: Fitted: Twin
172,3,Sheet,Flat: Full,Sheet: Flat: Full,9.44,11.46,13.48,ItsDeductible 2024,2024-01-01,bedding linens sheet flat full,Sheet: Flat: Full
173,3,Sheet,Flat: King,Sheet: Flat: King,15.56,18.9,22.23,ItsDeductible 2024,2024-01-01,bedding linens sheet flat king,Sheet: Flat: King
174,3,Sheet,Flat: Queen,Sheet: Flat: Queen,13.11,15.92,18.73,ItsDeductible 2024,2024-01-01,bedding linens sheet flat queen,Sheet: Flat: Queen
175,3,Sheet,Flat: Twin,Sheet: Flat: Twin,11.28,13.7,16.11,ItsDeductible 2024,2024-01-01,bedding linens sheet flat twin,Sheet: Flat: Twin
176,3,Skirt/Dust Ruffle,Full,Skirt/Dust Ruffle: Full,10.4,12.63,14.85,ItsDeductible 2024,2024-01-01,bedding linens skirt/dust ruffle full,Skirt/Dust Ruffle: Full
177,3,Skirt/Dust Ruffle,King,Skirt/Dust Ruffle: King,13.71,16.65,19.59,ItsDeductible 2024,2024-01-01,bedding linens skirt/dust ruffle king,Skirt/Dust Ruffle: King
