Item Category,Item Description, Excellent,Very Good,Good
Baby Gear,Baby Scale,$18.24 ,$15.51 ,$12.77 
Baby Gear,Bassinet,$29.09 ,$24.73 ,$20.36 
Baby Gear,Bath Mitt,$4.12 ,$3.50 ,$2.88 
Baby Gear,Bath Seat,$12.66 ,$10.76 ,$8.86 
Baby Gear,Bib,$3.15 ,$2.68 ,$2.21 
Baby Gear,Booster Seat,$17.83 ,$15.16 ,$12.48 
Baby Gear,Boppy Pillow,$8.16 ,$6.94 ,$5.71 
Baby Gear,Bottle Dryer,$11.08 ,$9.42 ,$7.76 
Baby Gear,Bottle Sterilizer: Countertop,$16.66 ,$14.16 ,$11.66 
Baby Gear,Bottle Sterilizer: Electric,$14.33 ,$12.18 ,$10.03 
Baby Gear,Bottle Sterilizer: Microwave,$8.78 ,$7.47 ,$6.15 
Baby Gear,Bottle Warmer: Travel,$11.31 ,$9.62 ,$7.92 
Baby Gear,Bouncer,$22.64 ,$19.25 ,$15.85 
Baby Gear,Bowl,$3.50 ,$2.98 ,$2.45 
Baby Gear,Breast Pump: Electric,$42.50 ,$36.13 ,$29.75 
Baby Gear,Breast Pump: Manual,$15.61 ,$13.27 ,$10.93 
Baby Gear,Busy Box,$9.91 ,$8.43 ,$6.94 
Baby Gear,Car Seat: Attachable Toy,$7.23 ,$6.15 ,$5.06 
Baby Gear,Car Seat: Cover,$11.49 ,$9.77 ,$8.04 
Baby Gear,Car Seat: Head Rest,$5.34 ,$4.54 ,$3.74 
Baby Gear,Car Seat: Mat,$3.01 ,$2.56 ,$2.11 
Baby Gear,Carrier: Back Pack,$18.04 ,$15.34 ,$12.63 
Baby Gear,Carrier: Front Pack,$15.60 ,$13.26 ,$10.92 
Baby Gear,Carrier: Sling,$14.40 ,$12.24 ,$10.08 
Baby Gear,Changing Pad,$10.12 ,$8.60 ,$7.08 
Baby Gear,Changing Table,$52.30 ,$44.46 ,$36.61 
Baby Gear,Crib Kick Toy,$9.75 ,$8.29 ,$6.83 
Baby Gear,Crib Light,$9.95 ,$8.46 ,$6.97 
Baby Gear,Crib Mattress,$22.50 ,$19.13 ,$15.75 
Baby Gear,Crib Mirror,$13.85 ,$11.78 ,$9.70 
Baby Gear,Crib: Full-Size,$35.83 ,$30.46 ,$25.08 
Baby Gear,Crib: Portable,$20.44 ,$17.38 ,$14.31 
Baby Gear,Diaper Bag,$14.70 ,$12.50 ,$10.29 
Baby Gear,Diaper Cover (Decorative),$4.76 ,$4.05 ,$3.33 
Baby Gear,Diaper Genie,$11.86 ,$10.08 ,$8.30 
Baby Gear,Diaper Pail,$12.03 ,$10.23 ,$8.42 
Baby Gear,Diaper Stacker,$7.47 ,$6.35 ,$5.23 
Baby Gear,Dish Set,$6.75 ,$5.74 ,$4.73 
Baby Gear,Dishwasher Basket,$4.28 ,$3.64 ,$3.00 
Baby Gear,Guard Rail,$16.98 ,$14.44 ,$11.89 
Baby Gear,Highchair,$18.52 ,$15.74 ,$12.96 
Baby Gear,Hooded Towel,$6.20 ,$5.27 ,$4.34 
Baby Gear,Infant Bathtub,$11.63 ,$9.89 ,$8.14 
Baby Gear,Infant Swing,$28.42 ,$24.16 ,$19.89 
Baby Gear,Jogging Stroller: Double,$90.38 ,$76.83 ,$63.27 
Baby Gear,Jogging Stroller: Single,$53.51 ,$45.49 ,$37.46 
Baby Gear,Jogging Stroller: Triple,$124.51 ,$105.84 ,$87.16 
Baby Gear,Jumper,$19.03 ,$16.18 ,$13.32 
Baby Gear,Mobile,$11.82 ,$10.05 ,$8.27 
Baby Gear,Moses Basket,$24.63 ,$20.94 ,$17.24 
Baby Gear,Plate,$4.12 ,$3.50 ,$2.88 
Baby Gear,Play Mat,$15.63 ,$13.29 ,$10.94 
Baby Gear,Play Pen,$24.76 ,$21.05 ,$17.33 
Baby Gear,Potty Chair,$12.51 ,$10.64 ,$8.76 
Baby Gear,Remote Control Crib Toy,$10.63 ,$9.04 ,$7.44 
Baby Gear,Safety Gate: Mounted,$23.84 ,$20.27 ,$16.69 
Baby Gear,Safety Gate: Pressure,$18.20 ,$15.47 ,$12.74 
Baby Gear,Saucer,$9.73 ,$8.27 ,$6.81 
Baby Gear,Shopping Cart Cover,$8.40 ,$7.14 ,$5.88 
Baby Gear,Sippy Cup,$4.76 ,$4.05 ,$3.33 
Baby Gear,Spoon & Fork (Set),$4.12 ,$3.50 ,$2.88 
Baby Gear,Stroller: Attachable Toy,$5.44 ,$4.63 ,$3.81 
Baby Gear,Stroller: Double,$58.07 ,$49.36 ,$40.65 
Baby Gear,Stroller: Drink Holder,$3.01 ,$2.56 ,$2.11 
Baby Gear,Stroller: Insect Net,$6.61 ,$5.62 ,$4.63 
Baby Gear,Stroller: Single,$55.67 ,$47.32 ,$38.97 
Baby Gear,Stroller: Triple,$96.73 ,$82.22 ,$67.71 
Baby Gear,Thermometer,$7.75 ,$6.59 ,$5.43 
Baby Gear,Toddler Bed Frame,$20.44 ,$17.38 ,$14.31 
Baby Gear,Umbrella Stroller: Double,$45.10 ,$38.34 ,$31.57 
Baby Gear,Umbrella Stroller: Single,$19.20 ,$16.32 ,$13.44 
Baby Gear,Walker,$19.03 ,$16.18 ,$13.32 
Baby Gear,Wipe Warmer,$13.17 ,$11.20 ,$9.22 
Bedding & Linens,Afghan,$21.43 ,$18.22 ,$15.00 
Bedding & Linens,Apron,$7.88 ,$6.70 ,$5.52 
Bedding & Linens,Bed Spread: Full/Queen,$20.92 ,$17.78 ,$14.64 
Bedding & Linens,Bed Spread: King,$24.35 ,$20.70 ,$17.05 
Bedding & Linens,Bed Spread: Set: Full,$26.47 ,$22.50 ,$18.53 
Bedding & Linens,Bed Spread: Set: King,$40.87 ,$34.74 ,$28.61 
Bedding & Linens,Bed Spread: Set: Queen,$27.43 ,$23.32 ,$19.20 
Bedding & Linens,Bed Spread: Set: Twin,$22.27 ,$18.93 ,$15.59 
Bedding & Linens,Bed Spread: Twin,$15.09 ,$12.83 ,$10.56 
Bedding & Linens,Blanket: Acrylic,$13.17 ,$11.20 ,$9.22 
Bedding & Linens,Blanket: Down,$23.44 ,$19.93 ,$16.41 
Bedding & Linens,Blanket: Electric: Full,$20.71 ,$17.61 ,$14.50 
Bedding & Linens,Blanket: Electric: King,$26.14 ,$22.22 ,$18.30 
Bedding & Linens,Blanket: Electric: Queen,$25.38 ,$21.58 ,$17.77 
Bedding & Linens,Blanket: Electric: Twin,$20.23 ,$17.20 ,$14.16 
Bedding & Linens,Blanket: Flannel,$11.48 ,$9.76 ,$8.04 
Bedding & Linens,Blanket: Fleece,$10.12 ,$8.60 ,$7.08 
Bedding & Linens,Blanket: Thermal,$14.72 ,$12.51 ,$10.30 
Bedding & Linens,Chair Pads (4 Pc Set),$13.02 ,$11.07 ,$9.11 
Bedding & Linens,Comforter: Full/Queen,$29.83 ,$25.36 ,$20.88 
Bedding & Linens,Comforter: King,$36.69 ,$31.19 ,$25.68 
Bedding & Linens,Comforter: Twin,$26.74 ,$22.73 ,$18.72 
Bedding & Linens,Crib/Toddler Bedding: Bumper Pad,$13.20 ,$11.22 ,$9.24 
Bedding & Linens,Crib/Toddler Bedding: Fitted Sheet,$9.63 ,$8.19 ,$6.74 
Bedding & Linens,Crib/Toddler Bedding: Mattress Pad,$11.76 ,$10.00 ,$8.23 
Bedding & Linens,Crib/Toddler Bedding: Quilt/Comforter,$15.07 ,$12.81 ,$10.55 
Bedding & Linens,Crib/Toddler Bedding: Skirt/Dust Ruffle,$9.91 ,$8.43 ,$6.94 
Bedding & Linens,Dinner Napkins (Set),$7.50 ,$6.38 ,$5.25 
Bedding & Linens,Dish Towel,$4.19 ,$3.56 ,$2.93 
Bedding & Linens,Duvet Cover: Full/Queen,$26.40 ,$22.44 ,$18.48 
Bedding & Linens,Duvet Cover: King,$33.44 ,$28.43 ,$23.41 
Bedding & Linens,Duvet Cover: Twin,$18.48 ,$15.71 ,$12.94 
Bedding & Linens,Mattress Pad: Full,$18.91 ,$16.08 ,$13.24 
Bedding & Linens,Mattress Pad: King,$35.19 ,$29.91 ,$24.63 
Bedding & Linens,Mattress Pad: Queen,$25.78 ,$21.92 ,$18.05 
Bedding & Linens,Mattress Pad: Twin,$15.95 ,$13.56 ,$11.17 
Bedding & Linens,Mattress Pad: Twin Extra Long,$17.54 ,$14.91 ,$12.28 
Bedding & Linens,Napkin Rings (Set),$6.65 ,$5.66 ,$4.66 
Bedding & Linens,Nursery: Receiving Blanket,$9.09 ,$7.73 ,$6.36 
Bedding & Linens,Nursery: Waterproof Crib Pad,$7.16 ,$6.09 ,$5.01 
Bedding & Linens,Nursery: Waterproof Lap Pad,$5.15 ,$4.38 ,$3.61 
Bedding & Linens,Nursery: Waterproof Seat/Stroller Pad,$8.75 ,$7.44 ,$6.13 
Bedding & Linens,Oven Mitt,$5.34 ,$4.54 ,$3.74 
Bedding & Linens,Pillow,$12.33 ,$10.48 ,$8.63 
Bedding & Linens,Pillow Sham,$11.00 ,$9.35 ,$7.70 
Bedding & Linens,Pillowcases (Pair),$7.26 ,$6.17 ,$5.08 
Bedding & Linens,Placemats (Set),$9.77 ,$8.31 ,$6.84 
Bedding & Linens,Pot Holder,$4.18 ,$3.56 ,$2.93 
Bedding & Linens,Quilt: Full/Queen,$40.64 ,$34.55 ,$28.45 
Bedding & Linens,Quilt: King,$54.71 ,$46.51 ,$38.30 
Bedding & Linens,Quilt: Twin,$25.59 ,$21.75 ,$17.91 
Bedding & Linens,Sheet Set: Full,$17.31 ,$14.72 ,$12.12 
Bedding & Linens,Sheet Set: King,$26.11 ,$22.20 ,$18.28 
Bedding & Linens,Sheet Set: Queen,$20.52 ,$17.44 ,$14.36 
Bedding & Linens,Sheet Set: Twin,$14.88 ,$12.65 ,$10.42 
Bedding & Linens,Sheet: Fitted: Full,$17.94 ,$15.25 ,$12.56 
Bedding & Linens,Sheet: Fitted: King,$22.80 ,$19.38 ,$15.96 
Bedding & Linens,Sheet: Fitted: Queen,$20.92 ,$17.78 ,$14.64 
Bedding & Linens,Sheet: Fitted: Twin,$12.00 ,$10.20 ,$8.40 
Bedding & Linens,Sheet: Flat: Full,$13.48 ,$11.46 ,$9.44 
Bedding & Linens,Sheet: Flat: King,$22.23 ,$18.90 ,$15.56 
Bedding & Linens,Sheet: Flat: Queen,$18.73 ,$15.92 ,$13.11 
Bedding & Linens,Sheet: Flat: Twin,$16.11 ,$13.70 ,$11.28 
Bedding & Linens,Skirt/Dust Ruffle: Full,$14.85 ,$12.63 ,$10.40 
Bedding & Linens,Skirt/Dust Ruffle: King,$19.59 ,$16.65 ,$13.71 
Bedding & Linens,Skirt/Dust Ruffle: Queen,$18.71 ,$15.91 ,$13.10 
Bedding & Linens,Skirt/Dust Ruffle: Twin,$11.80 ,$10.03 ,$8.26 
Bedding & Linens,Table Runner,$10.99 ,$9.34 ,$7.69 
Bedding & Linens,Tablecloth,$11.82 ,$10.05 ,$8.27 
Bedding & Linens,Throw Pillow,$11.31 ,$9.62 ,$7.92 
"Books, Movies & Music",Address Book,$8.44 ,$7.18 ,$5.91 
"Books, Movies & Music",Book: Audio: Cassette,$6.02 ,$5.12 ,$4.21 
"Books, Movies & Music",Book: Audio: CD,$8.08 ,$6.87 ,$5.66 
"Books, Movies & Music",Book: Children's: Board,$6.51 ,$5.54 ,$4.56 
"Books, Movies & Music",Book: Children's: Cloth,$6.31 ,$5.37 ,$4.42 
"Books, Movies & Music",Book: Children's: Hardcover,$9.66 ,$8.21 ,$6.76 
"Books, Movies & Music",Book: Children's: Softcover,$4.80 ,$4.08 ,$3.36 
"Books, Movies & Music",Book: Hardcover,$11.34 ,$9.64 ,$7.94 
"Books, Movies & Music",Book: Softcover,$5.48 ,$4.66 ,$3.84 
"Books, Movies & Music",Book: Textbook,$9.00 ,$7.65 ,$6.30 
"Books, Movies & Music",Cassette/CD Storage: Case/Rack,$11.48 ,$9.76 ,$8.04 
"Books, Movies & Music",Cassette/CD Storage: Travel Case,$9.92 ,$8.43 ,$6.94 
"Books, Movies & Music",Magazine,$3.30 ,$2.81 ,$2.31 
"Books, Movies & Music",Movie: DVD,$7.72 ,$6.56 ,$5.40 
"Books, Movies & Music",Movie: VHS,$7.71 ,$6.56 ,$5.40 
"Books, Movies & Music",Music: Cassette Tape,$3.95 ,$3.36 ,$2.77 
"Books, Movies & Music",Music: CD,$4.32 ,$3.67 ,$3.02 
"Books, Movies & Music",Music: Record/Vinyl,$7.03 ,$5.98 ,$4.92 
Cameras & Equipment,Camera Bag,$17.25 ,$14.67 ,$12.08 
Cameras & Equipment,Camera Case,$9.46 ,$8.04 ,$6.62 
Cameras & Equipment,Digital Camera,$31.03 ,$26.38 ,$21.72 
Cameras & Equipment,Film Camera,$58.30 ,$49.56 ,$40.81 
Cameras & Equipment,Memory Card Reader: CompactFlash,$7.71 ,$6.56 ,$5.40 
Cameras & Equipment,Memory Card Reader: Memory Stick,$6.30 ,$5.36 ,$4.41 
Cameras & Equipment,Memory Card Reader: MultiMedia/Secure Digital,$6.85 ,$5.83 ,$4.80 
Cameras & Equipment,Memory Card Reader: Multiple Formats,$7.72 ,$6.56 ,$5.40 
Cameras & Equipment,Memory Card Reader: SmartMedia,$7.33 ,$6.23 ,$5.13 
Cameras & Equipment,Memory Card Reader: xD Picture Card,$6.34 ,$5.39 ,$4.44 
Cameras & Equipment,Memory Card: CompactFlash: 1 GB,$7.20 ,$6.12 ,$5.04 
Cameras & Equipment,Memory Card: CompactFlash: 2 GB,$7.71 ,$6.56 ,$5.40 
Cameras & Equipment,Memory Card: MultiMedia: 1 GB,$8.16 ,$6.94 ,$5.71 
Cameras & Equipment,Memory Card: Secure Digital: 1 GB,$3.93 ,$3.34 ,$2.75 
Cameras & Equipment,Memory Card: Secure Digital: 2 GB,$4.73 ,$4.02 ,$3.31 
Cameras & Equipment,Memory Card: XD Picture Card: 1 GB,$6.16 ,$5.24 ,$4.31 
Cameras & Equipment,Memory Card: XD Picture Card: 2 GB,$6.51 ,$5.54 ,$4.56 
Cameras & Equipment,Tripod,$25.71 ,$21.86 ,$18.00 
"Clothing, Footwear & Accessories",Bandana,$4.25 ,$3.62 ,$2.98 
"Clothing, Footwear & Accessories",Baseball Cap: Adult,$6.54 ,$5.56 ,$4.58 
"Clothing, Footwear & Accessories",Baseball Cap: Youth,$5.82 ,$4.95 ,$4.07 
"Clothing, Footwear & Accessories",Belt Buckle: Adult,$12.04 ,$10.24 ,$8.43 
"Clothing, Footwear & Accessories",Belt Buckle: Youth,$8.43 ,$7.17 ,$5.90 
"Clothing, Footwear & Accessories",Belt: Adult,$9.09 ,$7.73 ,$6.36 
"Clothing, Footwear & Accessories",Belt: Youth,$7.09 ,$6.03 ,$4.96 
"Clothing, Footwear & Accessories",Boots: Fashion: Adult,$22.11 ,$18.80 ,$15.48 
"Clothing, Footwear & Accessories",Boots: Fashion: Youth,$13.41 ,$11.40 ,$9.39 
"Clothing, Footwear & Accessories",Boots: Hiking: Adult,$25.03 ,$21.28 ,$17.52 
"Clothing, Footwear & Accessories",Boots: Hiking: Youth,$19.51 ,$16.59 ,$13.66 
"Clothing, Footwear & Accessories",Boots: Snow: Adult,$23.10 ,$19.64 ,$16.17 
"Clothing, Footwear & Accessories",Boots: Snow: Youth,$17.58 ,$14.95 ,$12.31 
"Clothing, Footwear & Accessories",Boots: Western: Adult,$41.29 ,$35.10 ,$28.90 
"Clothing, Footwear & Accessories",Boots: Western: Youth,$21.90 ,$18.62 ,$15.33 
"Clothing, Footwear & Accessories",Bow Tie,$6.54 ,$5.56 ,$4.58 
"Clothing, Footwear & Accessories",Boy's Jogging Suit,$10.26 ,$8.72 ,$7.18 
"Clothing, Footwear & Accessories",Boy's Pants: Cargo,$8.60 ,$7.31 ,$6.02 
"Clothing, Footwear & Accessories",Boy's Pants: Carpenter,$9.91 ,$8.43 ,$6.94 
"Clothing, Footwear & Accessories",Boy's Pants: Chinos/Khakis,$7.94 ,$6.75 ,$5.56 
"Clothing, Footwear & Accessories",Boy's Pants: Corduroy,$8.43 ,$7.17 ,$5.90 
"Clothing, Footwear & Accessories",Boy's Pants: Dress Slacks,$8.24 ,$7.01 ,$5.77 
"Clothing, Footwear & Accessories",Boy's Pants: Jeans/Denim,$9.07 ,$7.71 ,$6.35 
"Clothing, Footwear & Accessories",Boy's Pants: Nylon/Athletic,$8.79 ,$7.47 ,$6.15 
"Clothing, Footwear & Accessories",Boy's Pants: Overalls/Coveralls,$11.41 ,$9.70 ,$7.99 
"Clothing, Footwear & Accessories",Boy's Pants: Sweatpants/Fleece,$8.19 ,$6.96 ,$5.73 
"Clothing, Footwear & Accessories",Boy's Shirt: Dress Shirt,$7.79 ,$6.62 ,$5.45 
"Clothing, Footwear & Accessories",Boy's Shirt: Flannel,$7.85 ,$6.68 ,$5.50 
"Clothing, Footwear & Accessories",Boy's Shirt: Jersey,$7.85 ,$6.68 ,$5.50 
"Clothing, Footwear & Accessories",Boy's Shirt: Mock Turtleneck,$7.20 ,$6.12 ,$5.04 
"Clothing, Footwear & Accessories",Boy's Shirt: Polo,$8.09 ,$6.88 ,$5.66 
"Clothing, Footwear & Accessories",Boy's Shirt: Rugby,$8.54 ,$7.26 ,$5.98 
"Clothing, Footwear & Accessories",Boy's Shirt: Sweatshirt/Fleece,$7.69 ,$6.54 ,$5.38 
"Clothing, Footwear & Accessories",Boy's Shirt: T-Shirt,$5.82 ,$4.95 ,$4.07 
"Clothing, Footwear & Accessories",Boy's Shirt: Tank,$5.34 ,$4.54 ,$3.74 
"Clothing, Footwear & Accessories",Boy's Shirt: Turtleneck,$7.61 ,$6.47 ,$5.33 
"Clothing, Footwear & Accessories",Boy's Shorts: Cargo,$7.71 ,$6.56 ,$5.40 
"Clothing, Footwear & Accessories",Boy's Shorts: Carpenter,$8.07 ,$6.86 ,$5.65 
"Clothing, Footwear & Accessories",Boy's Shorts: Chinos/Khakis,$7.71 ,$6.56 ,$5.40 
"Clothing, Footwear & Accessories",Boy's Shorts: Jeans/Denim,$8.40 ,$7.14 ,$5.88 
"Clothing, Footwear & Accessories",Boy's Shorts: Nylon/Athletic,$8.54 ,$7.26 ,$5.98 
"Clothing, Footwear & Accessories",Boy's Sleepwear: Lounge Pants,$6.88 ,$5.85 ,$4.82 
"Clothing, Footwear & Accessories",Boy's Sleepwear: Pajama Set,$8.73 ,$7.42 ,$6.11 
"Clothing, Footwear & Accessories",Boy's Sleepwear: Robe,$8.91 ,$7.58 ,$6.24 
"Clothing, Footwear & Accessories",Boy's Suit: Sport Coat,$17.99 ,$15.29 ,$12.59 
"Clothing, Footwear & Accessories",Boy's Suit: Two-Piece,$18.51 ,$15.74 ,$12.96 
"Clothing, Footwear & Accessories",Boy's Sweater: Cardigan,$9.43 ,$8.02 ,$6.60 
"Clothing, Footwear & Accessories",Boy's Sweater: Pullover,$9.00 ,$7.65 ,$6.30 
"Clothing, Footwear & Accessories",Boy's Sweater: Vest,$8.54 ,$7.26 ,$5.98 
"Clothing, Footwear & Accessories",Boy's Swimwear: Trunks,$7.37 ,$6.27 ,$5.16 
"Clothing, Footwear & Accessories",Boy's Undergarments: Socks,$2.09 ,$1.78 ,$1.46 
"Clothing, Footwear & Accessories",Boy's Undergarments: Thermal Pants,$6.41 ,$5.45 ,$4.49 
"Clothing, Footwear & Accessories",Boy's Undergarments: Thermal Shirt,$5.82 ,$4.95 ,$4.07 
"Clothing, Footwear & Accessories",Boy's Undergarments: Underwear,$2.78 ,$2.37 ,$1.95 
"Clothing, Footwear & Accessories",Clutch Wallet,$12.55 ,$10.67 ,$8.79 
"Clothing, Footwear & Accessories",Coin Purse,$8.22 ,$6.99 ,$5.75 
"Clothing, Footwear & Accessories",Costume Jewelry: Belly/Navel Ring,$4.15 ,$3.53 ,$2.91 
"Clothing, Footwear & Accessories",Costume Jewelry: Bracelet,$5.53 ,$4.70 ,$3.87 
"Clothing, Footwear & Accessories",Costume Jewelry: Earrings,$5.34 ,$4.54 ,$3.74 
"Clothing, Footwear & Accessories",Costume Jewelry: Necklace,$5.77 ,$4.91 ,$4.04 
"Clothing, Footwear & Accessories",Costume Jewelry: Pin,$5.76 ,$4.90 ,$4.03 
"Clothing, Footwear & Accessories",Costume Jewelry: Ring,$5.82 ,$4.95 ,$4.07 
"Clothing, Footwear & Accessories",Dress Hat: Adult,$8.85 ,$7.53 ,$6.20 
"Clothing, Footwear & Accessories",Dress Hat: Youth,$7.82 ,$6.65 ,$5.47 
"Clothing, Footwear & Accessories",Ear Muffs: Adult,$6.10 ,$5.19 ,$4.27 
"Clothing, Footwear & Accessories",Ear Muffs: Youth,$4.76 ,$4.05 ,$3.33 
"Clothing, Footwear & Accessories",Fashion Scarf,$8.21 ,$6.98 ,$5.75 
"Clothing, Footwear & Accessories",Girl's Dress: All Occasion,$10.28 ,$8.74 ,$7.20 
"Clothing, Footwear & Accessories",Girl's Dress: Formal,$15.38 ,$13.08 ,$10.77 
"Clothing, Footwear & Accessories",Girl's Jogging Suit,$9.60 ,$8.16 ,$6.72 
"Clothing, Footwear & Accessories",Girl's Pants: Capris,$8.18 ,$6.96 ,$5.73 
"Clothing, Footwear & Accessories",Girl's Pants: Cargo,$8.79 ,$7.47 ,$6.15 
"Clothing, Footwear & Accessories",Girl's Pants: Carpenter,$9.81 ,$8.34 ,$6.87 
"Clothing, Footwear & Accessories",Girl's Pants: Chinos/Khakis,$5.55 ,$4.72 ,$3.89 
"Clothing, Footwear & Accessories",Girl's Pants: Corduroy,$8.19 ,$6.96 ,$5.73 
"Clothing, Footwear & Accessories",Girl's Pants: Dress Slacks,$7.72 ,$6.56 ,$5.40 
"Clothing, Footwear & Accessories",Girl's Pants: Jeans/Denim,$9.13 ,$7.76 ,$6.39 
"Clothing, Footwear & Accessories",Girl's Pants: Leggings,$8.57 ,$7.29 ,$6.00 
"Clothing, Footwear & Accessories",Girl's Pants: Nylon/Athletic,$9.39 ,$7.98 ,$6.57 
"Clothing, Footwear & Accessories",Girl's Pants: Overalls/Coveralls,$10.87 ,$9.24 ,$7.61 
"Clothing, Footwear & Accessories",Girl's Pants: Sweatpants/Fleece,$7.71 ,$6.56 ,$5.40 
"Clothing, Footwear & Accessories",Girl's Shirt: Dress Shirt,$8.57 ,$7.29 ,$6.00 
"Clothing, Footwear & Accessories",Girl's Shirt: Flannel,$7.36 ,$6.26 ,$5.15 
"Clothing, Footwear & Accessories",Girl's Shirt: Halter,$7.37 ,$6.27 ,$5.16 
"Clothing, Footwear & Accessories",Girl's Shirt: Jersey,$8.81 ,$7.49 ,$6.17 
"Clothing, Footwear & Accessories",Girl's Shirt: Mock Turtleneck,$6.29 ,$5.35 ,$4.40 
"Clothing, Footwear & Accessories",Girl's Shirt: Polo,$7.37 ,$6.27 ,$5.16 
"Clothing, Footwear & Accessories",Girl's Shirt: Rugby,$7.84 ,$6.67 ,$5.49 
"Clothing, Footwear & Accessories",Girl's Shirt: Sweatshirt/Fleece,$8.87 ,$7.54 ,$6.21 
"Clothing, Footwear & Accessories",Girl's Shirt: T-Shirt,$5.32 ,$4.52 ,$3.72 
"Clothing, Footwear & Accessories",Girl's Shirt: Tank,$6.16 ,$5.24 ,$4.31 
"Clothing, Footwear & Accessories",Girl's Shirt: Turtleneck,$6.96 ,$5.92 ,$4.87 
"Clothing, Footwear & Accessories",Girl's Shorts: Cargo,$6.44 ,$5.48 ,$4.51 
"Clothing, Footwear & Accessories",Girl's Shorts: Carpenter,$6.65 ,$5.66 ,$4.66 
"Clothing, Footwear & Accessories",Girl's Shorts: Chinos/Khakis,$6.89 ,$5.86 ,$4.82 
"Clothing, Footwear & Accessories",Girl's Shorts: Jeans/Denim,$6.95 ,$5.91 ,$4.87 
"Clothing, Footwear & Accessories",Girl's Shorts: Nylon/Athletic,$8.57 ,$7.29 ,$6.00 
"Clothing, Footwear & Accessories",Girl's Skirt: Full-Length,$8.39 ,$7.13 ,$5.87 
"Clothing, Footwear & Accessories",Girl's Skirt: Knee-Length,$8.23 ,$7.00 ,$5.76 
"Clothing, Footwear & Accessories",Girl's Skirt: Mini,$8.47 ,$7.20 ,$5.93 
"Clothing, Footwear & Accessories",Girl's Skirt: Skorts,$7.37 ,$6.27 ,$5.16 
"Clothing, Footwear & Accessories",Girl's Sweater: Cardigan,$8.93 ,$7.59 ,$6.25 
"Clothing, Footwear & Accessories",Girl's Sweater: Pullover,$9.03 ,$7.68 ,$6.32 
