name,ein,category,city,state,website,description
Penney Memorial United Baptist Church,010215916,Religious,AUGUSTA,ME,,"Religious organization in AUGUSTA, ME"
Sanford Library Association,010216657,Other,SANFORD,ME,,"Other organization in SANFORD, ME"
Wayfinder Schools,010217639,Education,CAMDEN,ME,,"Education organization in CAMDEN, ME"
Old Orchard Beach Free Public Library Association,010219828,Other,OLD ORCHD BCH,ME,,"Other organization in OLD ORCHD BCH, ME"
Stephens Memorial Hospital Association,010219904,Health,NORWAY,ME,,"Health organization in NORWAY, ME"
Northeast Harbor Library,010220091,Other,NE HARBOR,ME,,"Other organization in NE HARBOR, ME"
Court Street Baptist Church,010220146,Religious,AUBURN,ME,,"Religious organization in AUBURN, ME"
Castine Community Hospital,010221126,Health,CASTINE,ME,,"Health organization in CASTINE, ME"
D A Hurd Public Library Assoc,010221132,Other,NORTH BERWICK,ME,,"Other organization in NORTH BERWICK, ME"
United Baptist Church,010222956,Religious,CARIBOU,ME,,"Religious organization in CARIBOU, ME"
Millinocket Regional Hospital,010223482,Health,MILLINOCKET,ME,,"Health organization in MILLINOCKET, ME"
Boothbay Harbor Memorial Library Association,010224627,Other,BOOTHBAY HBR,ME,,"Other organization in BOOTHBAY HBR, ME"
William Fogg Public Library,010227281,Other,ELIOT,ME,,"Other organization in ELIOT, ME"
Columbia Street Baptist Church,010228109,Religious,BANGOR,ME,,"Religious organization in BANGOR, ME"
Skidompha Library Assoc,010228297,Other,DAMARISCOTTA,ME,,"Other organization in DAMARISCOTTA, ME"
Jay-niles Memorial Library Association,010229544,Other,NORTH JAY,ME,,"Other organization in NORTH JAY, ME"
Somesville Library Association,010230060,Other,MOUNT DESERT,ME,,"Other organization in MOUNT DESERT, ME"
Springvale Public Library Association,010231382,Other,SPRINGVALE,ME,,"Other organization in SPRINGVALE, ME"
Bangor First Baptist Church,010233284,Religious,BANGOR,ME,,"Religious organization in BANGOR, ME"
Northern Maine Medical Center,010234189,Health,FORT KENT,ME,,"Health organization in FORT KENT, ME"
Fairfield First Baptist Church,010234309,Religious,FAIRFIELD,ME,,"Religious organization in FAIRFIELD, ME"
University Of Maine Pulp And Paper Foundation,010237721,Education,ORONO,ME,,"Education organization in ORONO, ME"
North Haven Baptist Church,010237756,Religious,NORTH HAVEN,ME,,"Religious organization in NORTH HAVEN, ME"
Brick Store Museum,010238760,Arts & Culture,KENNEBUNK,ME,,"Arts & Culture organization in KENNEBUNK, ME"
Southwest Harbor Public Library,010241528,Other,SOUTHWEST HBR,ME,,"Other organization in SOUTHWEST HBR, ME"
Haystack Mountain School Of Crafts,010243548,Education,DEER ISLE,ME,,"Education organization in DEER ISLE, ME"
Pleasant Street United Methodist Church,010243719,Religious,WATERVILLE,ME,,"Religious organization in WATERVILLE, ME"
New England Electric Railway Historical Society,010244457,Other,KENNEBUNKPORT,ME,,"Other organization in KENNEBUNKPORT, ME"
Ervin A Center Memorial Clinic Hospital,010246665,Health,STEEP FALLS,ME,,"Health organization in STEEP FALLS, ME"
State Street Baptist Church,010248549,Religious,PRESQUE ISLE,ME,,"Religious organization in PRESQUE ISLE, ME"
Hubbard Free Library,010248668,Other,HALLOWELL,ME,,"Other organization in HALLOWELL, ME"
Wiscasset Public Library,010249865,Other,WISCASSET,ME,,"Other organization in WISCASSET, ME"
Kennebunk Free Library Association,010249983,Other,KENNEBUNK,ME,,"Other organization in KENNEBUNK, ME"
Down East Community Hospital,010263198,Health,MACHIAS,ME,,"Health organization in MACHIAS, ME"
Thomas College,010263385,Education,WATERVILLE,ME,,"Education organization in WATERVILLE, ME"
Grant Memorial Methodist Church,010263728,Religious,PRESQUE ISLE,ME,,"Religious organization in PRESQUE ISLE, ME"
Weld Free Public Library Assn,010266487,Other,WELD,ME,,"Other organization in WELD, ME"
Kennebec Valley Humane Society,010266549,Environment/Animals,AUGUSTA,ME,,"Environment/Animals organization in AUGUSTA, ME"
Bristol Area Library Association,010267988,Other,NEW HARBOR,ME,,"Other organization in NEW HARBOR, ME"
Topsham Public Library,010268926,Other,TOPSHAM,ME,,"Other organization in TOPSHAM, ME"
Damariscotta Baptist Church,010269251,Religious,DAMARISCOTTA,ME,,"Religious organization in DAMARISCOTTA, ME"
Husson University,010271210,Education,BANGOR,ME,,"Education organization in BANGOR, ME"
Maine Maritime Museum,010271477,Arts & Culture,BATH,ME,,"Arts & Culture organization in BATH, ME"
Unity Environmental University,010275130,Education,NEW GLOUCESTER,ME,,"Education organization in NEW GLOUCESTER, ME"
Madawaska Public Library,010276098,Other,MADAWASKA,ME,,"Other organization in MADAWASKA, ME"
Seal Cove Auto Museum,010277592,Arts & Culture,SEAL COVE,ME,,"Arts & Culture organization in SEAL COVE, ME"
Midcoast Hospital-brunswick Auxiliary,010279581,Health,WOOLWICH,ME,,"Health organization in WOOLWICH, ME"
Catholic Charities Maine,010280225,Religious,PORTLAND,ME,,"Religious organization in PORTLAND, ME"
Readfield United Methodist Church,010281013,Religious,KENTS HILL,ME,,"Religious organization in KENTS HILL, ME"
Pittsfield First Baptist Church,010281021,Religious,PITTSFIELD,ME,,"Religious organization in PITTSFIELD, ME"
Paris Public Library Association,010281558,Other,SOUTH PARIS,ME,,"Other organization in SOUTH PARIS, ME"
Bangor Historical Society,010282853,Other,BANGOR,ME,,"Other organization in BANGOR, ME"
West Paris Baptist,010282915,Other,WEST PARIS,ME,,"Other organization in WEST PARIS, ME"
Gorham Cooperative Preschool,010283327,Education,GORHAM,ME,,"Education organization in GORHAM, ME"
Waterville Area YMCA,010283465,Other,WATERVILLE,ME,,"Other organization in WATERVILLE, ME"
Lubec Memorial Library,010284221,Other,LUBEC,ME,,"Other organization in LUBEC, ME"
Goodwill Industries Of Northern New England,010284340,Other,GORHAM,ME,,"Other organization in GORHAM, ME"
Redington-fairview General Hospital,010284446,Health,SKOWHEGAN,ME,,"Health organization in SKOWHEGAN, ME"
Levey Day School,010285528,Education,PORTLAND,ME,,"Education organization in PORTLAND, ME"
Wilton Free Library Association,010286579,Other,WILTON,ME,,"Other organization in WILTON, ME"
Theater At Monmouth,010287022,Arts & Culture,MONMOUTH,ME,,"Arts & Culture organization in MONMOUTH, ME"
Corner Nursery School,010287217,Education,FALMOUTH,ME,,"Education organization in FALMOUTH, ME"
Cushing Historical Society,010287586,Other,CUSHING,ME,,"Other organization in CUSHING, ME"
School Around US,010287775,Education,ARUNDEL,ME,,"Education organization in ARUNDEL, ME"
Islesboro Historical Society,010316968,Other,ISLESBORO,ME,,"Other organization in ISLESBORO, ME"
Hebron Community Baptist Church,010317643,Religious,HEBRON,ME,,"Religious organization in HEBRON, ME"
Harrington Library Association,010318674,Other,HARRINGTON,ME,,"Other organization in HARRINGTON, ME"
Peabody Memorial Library,010318866,Other,JONESPORT,ME,,"Other organization in JONESPORT, ME"
Greater Portland Christian School Association,010323144,Religious,S PORTLAND,ME,,"Religious organization in S PORTLAND, ME"
Bremen Library Association,010324317,Other,BREMEN,ME,,"Other organization in BREMEN, ME"
Bethel Historical Society,010327007,Other,BETHEL,ME,,"Other organization in BETHEL, ME"
Childrens Nursery School,010327860,Education,PORTLAND,ME,,"Education organization in PORTLAND, ME"
Gray Memorial United Methodist,010329401,Other,CARIBOU,ME,,"Other organization in CARIBOU, ME"
Hospital Administrative District 4,010329670,Health,BREWER,ME,,"Health organization in BREWER, ME"
Waldoboro Public Library,010329748,Other,WALDOBORO,ME,,"Other organization in WALDOBORO, ME"
Belfast First Baptist Church,010331589,Religious,BELFAST,ME,,"Religious organization in BELFAST, ME"
Tabernacle Baptist Church,010332240,Religious,TOPSHAM,ME,,"Religious organization in TOPSHAM, ME"
Houlton First Baptist Church,010333299,Religious,HOULTON,ME,,"Religious organization in HOULTON, ME"
Fort Fairfield High School Alumni Association,010339155,Education,FT FAIRFIELD,ME,,"Education organization in FT FAIRFIELD, ME"
Stonington Public Library,010339251,Other,STONINGTON,ME,,"Other organization in STONINGTON, ME"
Canton Historical Society,010339467,Other,CANTON,ME,,"Other organization in CANTON, ME"
Lovell Historical Society,010339744,Other,LOVELL,ME,,"Other organization in LOVELL, ME"
Hollis Center Library Association,010339973,Other,HOLLIS CENTER,ME,,"Other organization in HOLLIS CENTER, ME"
Buxton Centre Baptist Church,010339990,Religious,BUXTON,ME,,"Religious organization in BUXTON, ME"
Thornton Heights United Methodist Church,010340398,Religious,S PORTLAND,ME,,"Religious organization in S PORTLAND, ME"
Oakland Area Historical Society,010340467,Other,OAKLAND,ME,,"Other organization in OAKLAND, ME"
Kennebec Montessori School,010340713,Education,FAIRFIELD,ME,,"Education organization in FAIRFIELD, ME"
Rainbow United Methodist Church,010341444,Religious,PORTLAND,ME,,"Religious organization in PORTLAND, ME"
Historical Society Of Litchfield,010341794,Other,LITCHFIELD,ME,,"Other organization in LITCHFIELD, ME"
Forestdale Christian School,010342562,Religious,BRYANT POND,ME,,"Religious organization in BRYANT POND, ME"
Androscoggin Historical Society,010342762,Other,LEWISTON,ME,,"Other organization in LEWISTON, ME"
Denmark Public Library,010344524,Other,DENMARK,ME,,"Other organization in DENMARK, ME"
Harrison Historical Society,010344595,Other,HARRISON,ME,,"Other organization in HARRISON, ME"
Winter Harbor Historical Society,010344774,Other,WINTER HARBOR,ME,,"Other organization in WINTER HARBOR, ME"
Franklin County Animal Shelter,010344891,Human Services,FARMINGTON,ME,,"Human Services organization in FARMINGTON, ME"
Thomaston Historical Society,010345176,Other,THOMASTON,ME,,"Other organization in THOMASTON, ME"
Andover Historical Society,010345491,Other,ANDOVER,ME,,"Other organization in ANDOVER, ME"
Victory Baptist Church,010345881,Religious,WINTHROP,ME,,"Religious organization in WINTHROP, ME"
Fryeburg Historical Society,010346187,Other,FRYEBURG,ME,,"Other organization in FRYEBURG, ME"
Freeport First Baptist Church,010346200,Religious,FREEPORT,ME,,"Religious organization in FREEPORT, ME"
New Harbor United Methodist Church,010346232,Religious,PEMAQUID,ME,,"Religious organization in PEMAQUID, ME"
Episcopal Church Of St John Baptist,010346741,Religious,THOMASTON,ME,,"Religious organization in THOMASTON, ME"
Belfast United Methodist Church,010346794,Religious,BELFAST,ME,,"Religious organization in BELFAST, ME"
First Baptist Church Of Bar Harbor,010346935,Religious,BAR HARBOR,ME,,"Religious organization in BAR HARBOR, ME"
Freeport Historical Society,010346944,Other,FREEPORT,ME,,"Other organization in FREEPORT, ME"
Littlefield Memorial Baptist Church,010347322,Religious,ROCKLAND,ME,,"Religious organization in ROCKLAND, ME"
Dresden Historical Society,010347783,Other,BOWDOINHAM,ME,,"Other organization in BOWDOINHAM, ME"
Acton Shapheigh Historical Society,010348271,Other,SPRINGVALE,ME,,"Other organization in SPRINGVALE, ME"
Newport Public Library Association,010349146,Other,NEWPORT,ME,,"Other organization in NEWPORT, ME"
Robinson Ballet,010350908,Other,BANGOR,ME,,"Other organization in BANGOR, ME"
Belfast Free Library,010351143,Other,BELFAST,ME,,"Other organization in BELFAST, ME"
Yarmouth Historical Society,010351334,Other,YARMOUTH,ME,,"Other organization in YARMOUTH, ME"
Richmond Corner Baptist Church,010352223,Religious,RICHMOND,ME,,"Religious organization in RICHMOND, ME"
Childrens Museum And Theatre Of Maine,010352258,Arts & Culture,PORTLAND,ME,,"Arts & Culture organization in PORTLAND, ME"
Whitefield Historical Society,010352294,Other,WHITEFIELD,ME,,"Other organization in WHITEFIELD, ME"
Cape Elizabeth United Methodist Church,010352827,Religious,CAPE ELIZ,ME,,"Religious organization in CAPE ELIZ, ME"
Great Cranberry Library,010353376,Other,CRANBERRY IS,ME,,"Other organization in CRANBERRY IS, ME"
Ste Agathe Historical Society,010353565,Other,SAINT AGATHA,ME,,"Other organization in SAINT AGATHA, ME"
Rockland Historical Society,010353697,Other,ROCKLAND,ME,,"Other organization in ROCKLAND, ME"
Methodist Church Cape Porpoise Me,010354158,Religious,KENNEBUNKPORT,ME,,"Religious organization in KENNEBUNKPORT, ME"
South Gorham Baptist Church,010354607,Religious,GORHAM,ME,,"Religious organization in GORHAM, ME"
Bustins Island Maine Historical Society,010354783,Other,BUSTINS ISLAND,ME,,"Other organization in BUSTINS ISLAND, ME"
Maine Special Olympics,010355822,Other,S PORTLAND,ME,,"Other organization in S PORTLAND, ME"
Landing School Of Boatbuilding And Design,010355980,Education,ARUNDEL,ME,,"Education organization in ARUNDEL, ME"
Maine College Of Health Professions,010356077,Health,LEWISTON,ME,,"Health organization in LEWISTON, ME"
Sweden Historical Society,010357217,Other,SWEDEN,ME,,"Other organization in SWEDEN, ME"
Calvary Baptist Church,010357547,Religious,TURNER,ME,,"Religious organization in TURNER, ME"
Somerset Humane Society,010357595,Environment/Animals,SKOWHEGAN,ME,,"Environment/Animals organization in SKOWHEGAN, ME"
Fifth Maine Regiment Museum,010357895,Arts & Culture,PEAKS ISLAND,ME,,"Arts & Culture organization in PEAKS ISLAND, ME"
Seal Harbor Library Association,010358064,Other,SEAL HARBOR,ME,,"Other organization in SEAL HARBOR, ME"
Harpswell Historical Society,010358383,Other,HARPSWELL,ME,,"Other organization in HARPSWELL, ME"
Georgetown Historical Society,010359121,Other,GEORGETOWN,MA,,"Other organization in GEORGETOWN, MA"
Grand Banks Schooner Museum Trust,010359164,Arts & Culture,BOOTHBAY HBR,ME,,"Arts & Culture organization in BOOTHBAY HBR, ME"
Ellsworth Historical Society,010359659,Other,ELLSWORTH,ME,,"Other organization in ELLSWORTH, ME"
Nobleboro Historical Society,010360177,Other,NOBLEBORO,ME,,"Other organization in NOBLEBORO, ME"
United Methodist Church Of York,010360226,Religious,YORK,ME,,"Religious organization in YORK, ME"
Old Berwick Historical Society,010360460,Other,SOUTH BERWICK,ME,,"Other organization in SOUTH BERWICK, ME"
Monmouth Museum,010360505,Arts & Culture,MONMOUTH,ME,,"Arts & Culture organization in MONMOUTH, ME"
Eliot Historical Society,010360554,Other,ELIOT,ME,,"Other organization in ELIOT, ME"
Woodland Historical Society,010363070,Other,WOODLAND,ME,,"Other organization in WOODLAND, ME"
Maine Forestry Museum,010363861,Arts & Culture,DALLAS PLT,ME,,"Arts & Culture organization in DALLAS PLT, ME"
The Dead River Area Historical Society,010364057,Other,STRATTON,ME,,"Other organization in STRATTON, ME"
Millinocket Historical Society,010364235,Other,MILLINOCKET,ME,,"Other organization in MILLINOCKET, ME"
Vose Library,010364464,Other,UNION,ME,,"Other organization in UNION, ME"
Norridgewock Historical Society,010365295,Other,NORRIDGEWOCK,ME,,"Other organization in NORRIDGEWOCK, ME"
Kezar Falls Circulating Library,010365890,Other,PARSONSFIELD,ME,,"Other organization in PARSONSFIELD, ME"
Nobleboro First Baptist Church,010366203,Religious,NOBLEBORO,ME,,"Religious organization in NOBLEBORO, ME"
Westfield United Baptist Church,010366446,Religious,WESTFIELD,ME,,"Religious organization in WESTFIELD, ME"
Dexter First Baptist Church,010366458,Religious,DEXTER,ME,,"Religious organization in DEXTER, ME"
Thomaston Baptist Church,010367047,Religious,THOMASTON,ME,,"Religious organization in THOMASTON, ME"
First Baptist Church,010367229,Religious,E MILLINOCKET,ME,,"Religious organization in E MILLINOCKET, ME"
The Woodstock Historical Society,010367373,Other,BRYANT POND,ME,,"Other organization in BRYANT POND, ME"
Westbrook First Baptist Church,010367457,Religious,WESTBROOK,ME,,"Religious organization in WESTBROOK, ME"
Wendell Gilley Museum Of Bird Carving The,010368574,Arts & Culture,SOUTHWEST HBR,ME,,"Arts & Culture organization in SOUTHWEST HBR, ME"
Machias Valley Baptist Church,010368968,Religious,MACHIAS,ME,,"Religious organization in MACHIAS, ME"
Historical Society Of The Town Of Hancock Maine,010369079,Other,HANCOCK,ME,,"Other organization in HANCOCK, ME"
Town Of Gouldsboro Historical Society,010369562,Other,GOULDSBORO,ME,,"Other organization in GOULDSBORO, ME"
John Bapst Memorial High School,010370309,Education,BANGOR,ME,,"Education organization in BANGOR, ME"
Yarmouth High School Hockey Booster S Club,010370811,Education,YARMOUTH,ME,,"Education organization in YARMOUTH, ME"
Bay School,010370827,Education,BLUE HILL,ME,,"Education organization in BLUE HILL, ME"
Penobscot Christian School,010371166,Religious,BANGOR,ME,,"Religious organization in BANGOR, ME"
Village Nursery School,010371202,Education,YARMOUTH,ME,,"Education organization in YARMOUTH, ME"
Lamoine Historical Society,010371231,Other,LAMOINE,ME,,"Other organization in LAMOINE, ME"
Portland School Of Ballet,010372997,Education,PORTLAND,ME,,"Education organization in PORTLAND, ME"
Cressey Road United Methodist Church,010373556,Religious,GORHAM,ME,,"Religious organization in GORHAM, ME"
Waldo County Humane Society,010373772,Environment/Animals,BELFAST,ME,,"Environment/Animals organization in BELFAST, ME"
Corinth United Methodist Church,010373806,Religious,CORINTH,ME,,"Religious organization in CORINTH, ME"
Community Free Baptist Church Of Sabattus,010373874,Religious,SABATTUS,ME,,"Religious organization in SABATTUS, ME"
Vinalhaven Historical Society The,010374181,Other,VINALHAVEN,ME,,"Other organization in VINALHAVEN, ME"
Isleboro Pre School,010376079,Education,ISLESBORO,ME,,"Education organization in ISLESBORO, ME"
Waldo Pierce Reading Room & Library Association,010376146,Other,FRANKFORT,ME,,"Other organization in FRANKFORT, ME"
Oxford Historical Society,010376425,Other,OXFORD,ME,,"Other organization in OXFORD, ME"
Otisfield Historical Society,010376940,Other,OTISFIELD,ME,,"Other organization in OTISFIELD, ME"
Massabesic Lions Club Regional Medical Center,010377300,Health,WATERBORO,ME,,"Health organization in WATERBORO, ME"
Faith School Of Theology,010377494,Education,CHARLESTON,ME,,"Education organization in CHARLESTON, ME"
United Way Of The Tri Valley Area,010377559,Other,FARMINGTON,ME,,"Other organization in FARMINGTON, ME"
Calvary Baptist Church,010378112,Religious,MADAWASKA,ME,,"Religious organization in MADAWASKA, ME"
Portland Museum Of Art,010378420,Arts & Culture,PORTLAND,ME,,"Arts & Culture organization in PORTLAND, ME"
Franklin Historical Society,010378440,Other,FRANKLIN,ME,,"Other organization in FRANKLIN, ME"
Vienna Historical Society,010378533,Other,MT VERNON,ME,,"Other organization in MT VERNON, ME"
Maine College Of Art,010378758,Education,PORTLAND,ME,,"Education organization in PORTLAND, ME"
Dixfield Historical Society,010379037,Other,DIXFIELD,ME,,"Other organization in DIXFIELD, ME"
Jackson Memorial Library,010379054,Other,TENANTS HARBOR,ME,,"Other organization in TENANTS HARBOR, ME"
Paris Cape Historical Society,010379081,Other,MECHANIC FLS,ME,,"Other organization in MECHANIC FLS, ME"
Rutherford Library Assn,010379301,Other,SOUTH BRISTOL,ME,,"Other organization in SOUTH BRISTOL, ME"
South China Public Library,010380392,Other,CHINA,ME,,"Other organization in CHINA, ME"
Old Town Museum,010381906,Arts & Culture,OLD TOWN,ME,,"Arts & Culture organization in OLD TOWN, ME"
South Lewiston Baptist Church,010382492,Religious,LEWISTON,ME,,"Religious organization in LEWISTON, ME"
Wells Auto Museum,010382821,Arts & Culture,WELLS,ME,,"Arts & Culture organization in WELLS, ME"
Maine Library Association,010383486,Other,BELCHERTOWN,MA,,"Other organization in BELCHERTOWN, MA"
Friends Of The Windham Public & Library,010384135,Other,WINDHAM,ME,,"Other organization in WINDHAM, ME"
New Testament Baptist Church,010384727,Religious,SACO,ME,,"Religious organization in SACO, ME"
Jackman Library Association,010384970,Other,JACKMAN,ME,,"Other organization in JACKMAN, ME"
Town Of China Historical Society,010385221,Other,SOUTH CHINA,ME,,"Other organization in SOUTH CHINA, ME"
Eastern Maine Community College Foundation,010385303,Education,BANGOR,ME,,"Education organization in BANGOR, ME"
Penobscot Valley Humane Society,010385402,Environment/Animals,LINCOLN,ME,,"Environment/Animals organization in LINCOLN, ME"
North Livermore Baptist Church,010386302,Religious,LIVERMORE,ME,,"Religious organization in LIVERMORE, ME"
Fort Kent Historical Society,010386599,Other,FORT KENT,ME,,"Other organization in FORT KENT, ME"
Warren Baptist Church,010387234,Religious,WARREN,ME,,"Religious organization in WARREN, ME"
Poland Baptist Church,010387840,Religious,POLAND,ME,,"Religious organization in POLAND, ME"
Turner Public Library,010388492,Other,TURNER,ME,,"Other organization in TURNER, ME"
North Vassalboro Baptist Church,010388498,Religious,VASSALBORO,ME,,"Religious organization in VASSALBORO, ME"
New England Baptist Bible College,010388637,Education,BANGOR,ME,,"Education organization in BANGOR, ME"
Fellowship Baptist Bible Church,010388984,Religious,LIMINGTON,ME,,"Religious organization in LIMINGTON, ME"
Gospel Light Baptist Church,010389217,Religious,NEW VINEYARD,ME,,"Religious organization in NEW VINEYARD, ME"
Monson Historical Society,010389912,Other,MONSON,ME,,"Other organization in MONSON, ME"
Norway Historical Society,010392792,Other,NORWAY,ME,,"Other organization in NORWAY, ME"
Grand Lake Stream Historical Society,010392847,Other,GRAND LK STRM,ME,,"Other organization in GRAND LK STRM, ME"
The Franklin Library,010394150,Other,FRANKLIN,ME,,"Other organization in FRANKLIN, ME"
Palermo School Club,010394229,Education,PALERMO,ME,,"Education organization in PALERMO, ME"
Turner Museum And Historical Association,010395079,Arts & Culture,TURNER,ME,,"Arts & Culture organization in TURNER, ME"
Oakfield Baptist Church,010399854,Religious,OAKFIELD,ME,,"Religious organization in OAKFIELD, ME"
Phillips Public Library,010400759,Other,PHILLIPS,ME,,"Other organization in PHILLIPS, ME"
St Croix Historical Society,010401086,Other,CALAIS,ME,,"Other organization in CALAIS, ME"
The Ark Pope Memorial Animal Shelter,010401717,Human Services,CHERRYFIELD,ME,,"Human Services organization in CHERRYFIELD, ME"
Autism Society Of Maine,010407346,Other,WINTHROP,ME,,"Other organization in WINTHROP, ME"
The Coastal Childrens Museum,010409240,Arts & Culture,ROCKLAND,ME,,"Arts & Culture organization in ROCKLAND, ME"
Waterborough Historical Society,010409878,Other,N WATERBORO,ME,,"Other organization in N WATERBORO, ME"
Readfield Historical Society,010412021,Other,READFIELD,ME,,"Other organization in READFIELD, ME"
Bangor Area Homeless Shelter,010412267,Human Services,BANGOR,ME,,"Human Services organization in BANGOR, ME"
Down East Family YMCA,010412269,Other,ELLSWORTH,ME,,"Other organization in ELLSWORTH, ME"
Habitat For Humanity York County,010414293,Other,KENNEBUNK,ME,,"Other organization in KENNEBUNK, ME"
Nasson College Alumni Association,010414420,Education,SPRINGVALE,ME,,"Education organization in SPRINGVALE, ME"
Northern Maine Community College Foundation,010416939,Education,PRESQUE ISLE,ME,,"Education organization in PRESQUE ISLE, ME"
Maine State Ballet,010420070,Other,FALMOUTH,ME,,"Other organization in FALMOUTH, ME"
Friends Of The Vinalhaven Public Library,010421208,Other,VINALHAVEN,ME,,"Other organization in VINALHAVEN, ME"
Hospitality Maine Education Foundation,010421242,Health,AUGUSTA,ME,,"Health organization in AUGUSTA, ME"
The Parsonsfield-porter Historical Society,010423237,Other,PARSONSFIELD,ME,,"Other organization in PARSONSFIELD, ME"
Baptist Youth Camp,010425322,Youth Development,ELLSWORTH,ME,,"Youth Development organization in ELLSWORTH, ME"
Lake Region Baptist Church,010426558,Religious,RAYMOND,ME,,"Religious organization in RAYMOND, ME"
Houlton Humane Society,010427103,Environment/Animals,HOULTON,ME,,"Environment/Animals organization in HOULTON, ME"
The General Henry Knox Museum,010427323,Arts & Culture,THOMASTON,ME,,"Arts & Culture organization in THOMASTON, ME"
St Francis Historical Society,010429094,Other,SAINT FRANCIS,ME,,"Other organization in SAINT FRANCIS, ME"
Brownfield Historical Society,010431380,Other,BROWNFIELD,ME,,"Other organization in BROWNFIELD, ME"
Berwick Library Association,010431574,Other,BERWICK,ME,,"Other organization in BERWICK, ME"
Penobscot Language School,010432067,Education,ROCKLAND,ME,,"Education organization in ROCKLAND, ME"
