table_type,tax_year,filing_status,gain_type,purpose,rule_type,min_income,max_income,rate,amount,value,description,effective_date
capital_gains,2024,single,long_term,,,47025,518900,0.15,,,,
capital_gains,2024,single,long_term,,,518900,,0.20,,,,
capital_gains,2024,married_jointly,long_term,,,0,94050,0.00,,,,
capital_gains,2024,married_jointly,long_term,,,94050,583750,0.15,,,,
capital_gains,2024,married_jointly,long_term,,,583750,,0.20,,,,
capital_gains,2024,married_separately,long_term,,,0,47025,0.00,,,,
capital_gains,2024,married_separately,long_term,,,47025,291875,0.15,,,,
capital_gains,2024,married_separately,long_term,,,291875,,0.20,,,,
capital_gains,2024,head_of_household,long_term,,,0,63000,0.00,,,,
capital_gains,2024,head_of_household,long_term,,,63000,551350,0.15,,,,
capital_gains,2024,head_of_household,long_term,,,551350,,0.20,,,,
capital_gains,2025,single,long_term,,,0,48350,0.00,,,,
capital_gains,2025,single,long_term,,,48350,533400,0.15,,,,
capital_gains,2025,single,long_term,,,533400,,0.20,,,,
capital_gains,2025,married_jointly,long_term,,,0,96700,0.00,,,,
capital_gains,2025,married_jointly,long_term,,,96700,600050,0.15,,,,
capital_gains,2025,married_jointly,long_term,,,600050,,0.20,,,,
capital_gains,2025,married_separately,long_term,,,0,48350,0.00,,,,
capital_gains,2025,married_separately,long_term,,,48350,300025,0.15,,,,
capital_gains,2025,married_separately,long_term,,,300025,,0.20,,,,
capital_gains,2025,head_of_household,long_term,,,0,64750,0.00,,,,
capital_gains,2025,head_of_household,long_term,,,64750,566700,0.15,,,,
capital_gains,2025,head_of_household,long_term,,,566700,,0.20,,,,
capital_gains,2026,single,long_term,,,0,49550,0.00,,,,
capital_gains,2026,single,long_term,,,49550,546700,0.15,,,,
capital_gains,2026,single,long_term,,,546700,,0.20,,,,
capital_gains,2026,married_jointly,long_term,,,0,99100,0.00,,,,
capital_gains,2026,married_jointly,long_term,,,99100,615050,0.15,,,,
capital_gains,2026,married_jointly,long_term,,,615050,,0.20,,,,
capital_gains,2026,married_separately,long_term,,,0,49550,0.00,,,,
capital_gains,2026,married_separately,long_term,,,49550,307525,0.15,,,,
capital_gains,2026,married_separately,long_term,,,307525,,0.20,,,,
capital_gains,2026,head_of_household,long_term,,,0,66350,0.00,,,,
capital_gains,2026,head_of_household,long_term,,,66350,580850,0.15,,,,
capital_gains,2026,head_of_household,long_term,,,580850,,0.20,,,,
standard_deductions,2024,single,,,,,,,14600,,,
standard_deductions,2024,married_jointly,,,,,,,29200,,,
standard_deductions,2024,married_separately,,,,,,,14600,,,
standard_deductions,2024,head_of_household,,,,,,,21900,,,
standard_deductions,2025,single,,,,,,,15000,,,
standard_deductions,2025,married_jointly,,,,,,,30000,,,
standard_deductions,2025,married_separately,,,,,,,15000,,,
standard_deductions,2025,head_of_household,,,,,,,22500,,,
standard_deductions,2026,single,,,,,,,15375,,,
standard_deductions,2026,married_jointly,,,,,,,30750,,,
standard_deductions,2026,married_separately,,,,,,,15375,,,
standard_deductions,2026,head_of_household,,,,,,,23050,,,
mileage_rates,2024,,charitable,,,,0.14,,,,,2024-01-01
mileage_rates,2024,,medical,,,,0.21,,,,,2024-01-01
mileage_rates,2024,,business,,,,0.67,,,,,2024-01-01
mileage_rates,2025,,charitable,,,,0.14,,,,,2025-01-01
mileage_rates,2025,,medical,,,,0.21,,,,,2025-01-01
mileage_rates,2025,,business,,,,0.70,,,,,2025-01-01
mileage_rates,2026,,charitable,,,,0.14,,,,,2026-01-01
mileage_rates,2026,,medical,,,,0.22,,,,,2026-01-01
mileage_rates,2026,,business,,,,0.72,,,,,2026-01-01
contribution_limits,2024,,,agi_floor,,,,,0.0,No AGI floor for charitable deductions,
contribution_limits,2024,,,rate_cap,,,,,0.37,Maximum tax benefit at highest marginal rate,
contribution_limits,2025,,,agi_floor,,,,,0.0,No AGI floor for charitable deductions,
contribution_limits,2025,,,rate_cap,,,,,0.37,Maximum tax benefit at highest marginal rate,
contribution_limits,2026,,,agi_floor,,,,,0.005,0.5% of AGI floor for itemized charitable deductions (OBBBA),
contribution_limits,2026,,,rate_cap,,,,,0.35,Maximum 35% tax benefit even if in 37% bracket (OBBBA),
contribution_limits,2026,single,,standard_deduction_addon,,,,,1000,Non-itemizers can deduct up to $1000 in cash donations,
contribution_limits,2026,married_jointly,,standard_deduction_addon,,,,,2000,Non-itemizers can deduct up to $2000 in cash donations,
contribution_limits,2026,married_separately,,standard_deduction_addon,,,,,1000,Non-itemizers can deduct up to $1000 in cash donations,
contribution_limits,2026,head_of_household,,standard_deduction_addon,,,,,1000,Non-itemizers can deduct up to $1000 in cash donations,
