charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_3_name,item_3_category,item_3_condition,item_3_quantity
BOYS & GIRLS CLUBS OF AMERICA,2024-02-23,items,,Decluttering donation,Fan - Tower,Appliances,excellent,1,,,,,,,,
YMCA,2024-02-23,cash,300,Monthly donation,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-02-26,cash,250,General support,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-03-01,cash,400,Monthly donation,,,,,,,,,,,,
YMCA,2024-02-28,cash,75,Annual contribution,,,,,,,,,,,,
YMCA,2024-03-06,cash,400,General support,,,,,,,,,,,,
Community Social Center,2024-03-03,items,,Decluttering donation,Chair - Office,Furniture,very_good,1,Mirror - Full Length,Furniture,excellent,1,,,,
GOODWILL INDUSTRIES,2024-03-12,cash,200,Emergency fund,,,,,,,,,,,,
Community Social Center,2024-03-09,items,,Seasonal donation,Bed - Queen,Furniture,very_good,1,Table - Dining 8,Furniture,excellent,1,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-03-14,items,,Seasonal donation,Mixer - Stand,Appliances,excellent,4,,,,,,,,
AMERICAN RED CROSS,2024-03-18,miles,80.4,120 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
UNITED WAY,2024-03-18,items,,Moving donation,Sofa - Sectional,Furniture,very_good,1,Bar Stools,Furniture,very_good,1,,,,
YMCA,2024-03-23,cash,250,Monthly donation,,,,,,,,,,,,
Local Social Foundation,2024-03-17,items,,Decluttering donation,Mixer - Hand,Appliances,very_good,2,Steam Cleaner,Appliances,excellent,1,Blender - High End,Appliances,good,1
SALVATION ARMY,2024-03-27,items,,Spring cleaning donation,Desk Chair,Furniture,excellent,3,Ottoman,Furniture,excellent,4,,,,
YMCA,2024-03-19,cash,250,Emergency fund,,,,,,,,,,,,
UNITED WAY,2024-03-27,stock,9082.67,Tesla - 42 shares at $216.25/share,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-03-26,items,,Seasonal donation,Air Conditioner - Portable,Appliances,very_good,1,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-03-25,cash,75,Emergency fund,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-03-26,miles,107.87,161 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
YMCA,2024-04-05,cash,150,Special appeal,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-04-01,cash,100,Annual contribution,,,,,,,,,,,,
SALVATION ARMY,2024-04-05,cash,50,General support,,,,,,,,,,,,
FEEDING AMERICA,2024-04-11,crypto,115.52,Cardano donation - 285.25 units,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-04-11,cash,250,Annual contribution,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-04-17,miles,48.91,73 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
FEEDING AMERICA,2024-04-18,cash,500,Year-end giving,,,,,,,,,,,,
YMCA,2024-04-11,items,,Spring cleaning donation,Mixing Bowls,Household Items,excellent,2,Utensil Set,Household Items,good,1,Baking Set,Household Items,good,1
FEEDING AMERICA,2024-04-12,cash,50,Year-end giving,,,,,,,,,,,,
UNITED WAY,2024-04-19,items,,Year-end donation,Dishwasher,Appliances,good,4,Coffee Maker - Espresso,Appliances,very_good,1,Ironing Board,Appliances,good,1
HABITAT FOR HUMANITY,2024-04-22,stock,2061.87,Alphabet - 15 shares at $137.46/share,,,,,,,,,,,,
FEEDING AMERICA,2024-04-22,cash,75,Emergency fund,,,,,,,,,,,,
AMERICAN RED CROSS,2024-04-25,miles,26.13,39 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
AMERICAN RED CROSS,2024-04-25,stock,5970.67,Amazon - 42 shares at $142.16/share,,,,,,,,,,,,
AMERICAN RED CROSS,2024-04-28,stock,1766.37,Apple Inc. - 11 shares at $160.58/share,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-05-04,cash,75,Monthly donation,,,,,,,,,,,,
FEEDING AMERICA,2024-05-04,miles,56.95,85 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
AMERICAN RED CROSS,2024-05-06,cash,100,General support,,,,,,,,,,,,
FEEDING AMERICA,2024-05-05,cash,300,Monthly donation,,,,,,,,,,,,
YMCA,2024-05-05,cash,200,Year-end giving,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-05-12,cash,75,Monthly donation,,,,,,,,,,,,
FEEDING AMERICA,2024-05-10,items,,Seasonal donation,Console Table,Furniture,good,1,,,,,,,,
YMCA,2024-05-10,miles,87.1,130 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-05-17,stock,7722.1,Alphabet - 48 shares at $160.88/share,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-05-13,items,,Estate donation,Dishwasher,Appliances,very_good,1,,,,,,,,
UNITED WAY,2024-05-14,miles,59.63,89 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-05-26,cash,400,Emergency fund,,,,,,,,,,,,
Community Social Center,2024-05-27,items,,Spring cleaning donation,Iron,Appliances,good,1,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-05-20,items,,Estate donation,Microwave - Over Range,Appliances,very_good,1,,,,,,,,
FEEDING AMERICA,2024-05-25,miles,40.87,61 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
SALVATION ARMY,2024-05-25,items,,Seasonal donation,Microwave - Over Range,Appliances,very_good,1,Air Conditioner - Portable,Appliances,good,2,,,,
YMCA,2024-05-26,cash,300,General support,,,,,,,,,,,,
Local Social Foundation,2024-06-03,cash,100,Year-end giving,,,,,,,,,,,,
SALVATION ARMY,2024-06-03,miles,18.09,27 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
UNITED WAY,2024-06-08,items,,Spring cleaning donation,Comforter - Queen,Household Items,very_good,4,,,,,,,,
FEEDING AMERICA,2024-06-12,stock,2786.9,Tesla - 13 shares at $214.38/share,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-06-04,cash,100,Annual contribution,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-06-06,cash,250,Special appeal,,,,,,,,,,,,
AMERICAN RED CROSS,2024-06-10,miles,48.24,72 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
Local Social Foundation,2024-06-11,miles,81.74,122 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
FEEDING AMERICA,2024-06-21,cash,200,Emergency fund,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-06-21,items,,Seasonal donation,Headboard - King,Furniture,very_good,1,,,,,,,,
UNITED WAY,2024-06-25,crypto,5.11,Ethereum donation - 0.0021 units,,,,,,,,,,,,
Local Social Foundation,2024-06-25,cash,75,Monthly donation,,,,,,,,,,,,
FEEDING AMERICA,2024-06-22,crypto,76.46,Ethereum donation - 0.0345 units,,,,,,,,,,,,
UNITED WAY,2024-06-27,cash,500,Year-end giving,,,,,,,,,,,,
UNITED WAY,2024-07-01,miles,24.12,36 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
FEEDING AMERICA,2024-07-05,cash,500,Special appeal,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-07-07,items,,Year-end donation,Chair - Accent,Furniture,good,1,Mattress - Twin,Furniture,good,1,Mattress - King,Furniture,good,2
SALVATION ARMY,2024-06-30,cash,500,Monthly donation,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-07-02,cash,100,Monthly donation,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-07-07,cash,75,Special appeal,,,,,,,,,,,,
UNITED WAY,2024-07-12,cash,100,Special appeal,,,,,,,,,,,,
YMCA,2024-07-09,cash,500,Special appeal,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-07-10,cash,150,General support,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-07-15,stock,3940.09,Apple Inc. - 25 shares at $157.60/share,,,,,,,,,,,,
Community Social Center,2024-07-17,cash,400,General support,,,,,,,,,,,,
SALVATION ARMY,2024-07-24,crypto,125.43,Ethereum donation - 0.0455 units,,,,,,,,,,,,
YMCA,2024-07-18,stock,12434.06,Tesla - 45 shares at $276.31/share,,,,,,,,,,,,
FEEDING AMERICA,2024-07-28,cash,400,Monthly donation,,,,,,,,,,,,
Community Social Center,2024-07-27,cash,75,Annual contribution,,,,,,,,,,,,
YMCA,2024-07-29,miles,105.86,158 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-07-30,cash,200,Emergency fund,,,,,,,,,,,,
UNITED WAY,2024-08-01,cash,300,Year-end giving,,,,,,,,,,,,
Local Social Foundation,2024-07-28,crypto,1178.58,Bitcoin donation - 0.0294 units,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-08-05,items,,Spring cleaning donation,Air Purifier,Appliances,excellent,1,Freezer - Chest,Appliances,very_good,1,Fan - Box,Appliances,very_good,1
AMERICAN HEART ASSOCIATION,2024-08-04,items,,Spring cleaning donation,Candles,Household Items,very_good,1,Sheets - Twin,Household Items,very_good,1,,,,
AMERICAN HEART ASSOCIATION,2024-08-09,crypto,1010.89,Bitcoin donation - 0.0301 units,,,,,,,,,,,,
Community Social Center,2024-08-10,items,,Estate donation,Vacuum - Canister,Appliances,good,4,Steam Cleaner,Appliances,good,1,Mixer - Stand,Appliances,excellent,1
UNITED WAY,2024-08-07,cash,400,General support,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-08-12,items,,Spring cleaning donation,Air Purifier,Appliances,good,4,Blender - High End,Appliances,very_good,1,,,,
UNITED WAY,2024-08-19,cash,75,Annual contribution,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-08-19,stock,5815.09,Apple Inc. - 35 shares at $166.15/share,,,,,,,,,,,,
FEEDING AMERICA,2024-08-20,items,,Seasonal donation,Freezer - Chest,Appliances,good,1,,,,,,,,
Community Social Center,2024-08-18,items,,Moving donation,Bookshelf - Small,Furniture,very_good,1,,,,,,,,
YMCA,2024-08-22,cash,50,Special appeal,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-08-26,crypto,57.41,Ethereum donation - 0.0273 units,,,,,,,,,,,,
Local Social Foundation,2024-08-31,cash,300,Emergency fund,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-08-23,cash,500,Special appeal,,,,,,,,,,,,
YMCA,2024-09-04,cash,200,Monthly donation,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-08-31,cash,75,Annual contribution,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-09-06,cash,50,Year-end giving,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-09-06,stock,4710.98,Amazon - 32 shares at $147.22/share,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-09-04,cash,100,Year-end giving,,,,,,,,,,,,
YMCA,2024-09-08,items,,Year-end donation,Instant Pot,Appliances,very_good,1,Iron,Appliances,very_good,2,Freezer - Chest,Appliances,excellent,2
SHRINERS HOSPITALS FOR CHILDREN,2024-09-12,items,,Spring cleaning donation,Headboard - King,Furniture,very_good,1,Dresser - Small,Furniture,good,1,,,,
AMERICAN HEART ASSOCIATION,2024-09-11,miles,127.3,190 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
AMERICAN RED CROSS,2024-09-13,stock,2025.21,Alphabet - 14 shares at $144.66/share,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-09-19,items,,Year-end donation,Toaster Oven,Appliances,very_good,1,,,,,,,,
YMCA,2024-09-21,cash,400,Emergency fund,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-09-21,items,,Estate donation,Comforter - King,Household Items,good,2,Vase,Household Items,excellent,1,,,,
Local Social Foundation,2024-09-16,cash,100,Annual contribution,,,,,,,,,,,,
AMERICAN RED CROSS,2024-09-18,stock,8031.74,Amazon - 49 shares at $163.91/share,,,,,,,,,,,,
UNITED WAY,2024-09-26,stock,6538.77,Apple Inc. - 43 shares at $152.06/share,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-09-23,cash,100,Monthly donation,,,,,,,,,,,,
FEEDING AMERICA,2024-09-25,cash,500,Special appeal,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-09-26,items,,Decluttering donation,Humidifier,Appliances,excellent,2,Slow Cooker,Appliances,excellent,3,,,,
YMCA,2024-10-07,cash,75,Emergency fund,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-10-08,items,,Moving donation,Steamer,Appliances,very_good,1,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-10-07,items,,Moving donation,Sofa - Loveseat,Furniture,good,1,Bed - King,Furniture,excellent,1,,,,
AMERICAN HEART ASSOCIATION,2024-10-12,cash,500,Emergency fund,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-10-07,miles,80.4,120 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-10-14,cash,50,Emergency fund,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-10-19,crypto,88.09,Ethereum donation - 0.0434 units,,,,,,,,,,,,
UNITED WAY,2024-10-17,miles,52.26,78 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
FEEDING AMERICA,2024-10-13,items,,Moving donation,Headboard - King,Furniture,good,3,,,,,,,,
YMCA,2024-10-17,cash,500,Annual contribution,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-10-23,miles,99.16,148 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
AMERICAN RED CROSS,2024-10-24,cash,200,General support,,,,,,,,,,,,
SALVATION ARMY,2024-10-26,items,,Estate donation,Electric Kettle,Appliances,good,1,,,,,,,,
Community Social Center,2024-10-25,miles,19.43,29 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-11-01,cash,300,Annual contribution,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-10-29,items,,Seasonal donation,Vacuum - Upright,Appliances,very_good,1,Dishwasher,Appliances,good,3,,,,
UNITED WAY,2024-11-04,stock,9294.03,Tesla - 45 shares at $206.53/share,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-11-01,items,,Estate donation,Heater - Space,Appliances,excellent,1,Blender - High End,Appliances,excellent,1,,,,
YMCA,2024-11-09,stock,6283.4,Apple Inc. - 41 shares at $153.25/share,,,,,,,,,,,,
FEEDING AMERICA,2024-11-07,cash,250,Monthly donation,,,,,,,,,,,,
AMERICAN RED CROSS,2024-11-11,crypto,79.34,Ethereum donation - 0.0285 units,,,,,,,,,,,,
YMCA,2024-11-15,items,,Moving donation,Instant Pot,Appliances,excellent,1,Vacuum - Handheld,Appliances,good,2,Rice Cooker,Appliances,very_good,3
FEEDING AMERICA,2024-11-13,stock,3296.29,Alphabet - 24 shares at $137.35/share,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-11-16,stock,14303.36,Microsoft - 35 shares at $408.67/share,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-11-14,cash,100,Emergency fund,,,,,,,,,,,,
Community Social Center,2024-11-19,miles,26.13,39 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
FEEDING AMERICA,2024-11-24,cash,300,Year-end giving,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-11-21,cash,100,General support,,,,,,,,,,,,
AMERICAN RED CROSS,2024-11-25,miles,87.77,131 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-11-30,items,,Decluttering donation,Flatware - Steel,Household Items,very_good,1,Rug - Area,Household Items,excellent,4,,,,
HABITAT FOR HUMANITY,2024-11-28,stock,2587.4,Microsoft - 7 shares at $369.63/share,,,,,,,,,,,,
FEEDING AMERICA,2024-12-03,cash,100,Year-end giving,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF AMERICA,2024-12-03,cash,500,Special appeal,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-12-05,cash,400,Annual contribution,,,,,,,,,,,,
FEEDING AMERICA,2024-12-11,cash,150,Special appeal,,,,,,,,,,,,
YMCA,2024-12-09,items,,Moving donation,Fan - Ceiling,Appliances,good,1,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-12-11,cash,100,Emergency fund,,,,,,,,,,,,
HABITAT FOR HUMANITY,2024-12-16,miles,78.39,117 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-12-14,cash,250,Special appeal,,,,,,,,,,,,
GOODWILL INDUSTRIES,2024-12-10,items,,Decluttering donation,Coffee Grinder,Appliances,good,1,Dryer,Appliances,very_good,3,Freezer - Upright,Appliances,excellent,1
SALVATION ARMY,2024-12-19,items,,Estate donation,Coffee Mugs,Household Items,excellent,1,Glassware - Crystal,Household Items,very_good,1,,,,
AMERICAN RED CROSS,2024-12-16,items,,Seasonal donation,Washer,Appliances,good,1,Range - Electric,Appliances,good,1,,,,
HABITAT FOR HUMANITY,2024-12-16,stock,2615.16,Tesla - 10 shares at $261.52/share,,,,,,,,,,,,
FEEDING AMERICA,2024-12-28,cash,150,Annual contribution,,,,,,,,,,,,
AMERICAN RED CROSS,2024-12-22,cash,100,Emergency fund,,,,,,,,,,,,
YMCA,2024-12-24,items,,Estate donation,Desk - Executive,Furniture,good,2,Bench,Furniture,good,1,Bookshelf - Large,Furniture,good,3
AMERICAN RED CROSS,2024-12-27,cash,200,Year-end giving,,,,,,,,,,,,
