name,ein,category,website,description
"ADVENTIST HEALTH SYSTEM WEST","951541152","Health","","Health organization with annual revenue of approximately $10229M"
"THE SALVATION ARMY","135634409","Human Services","","Human Services organization with annual revenue of approximately $10182M"
"THE UNITED STATES OLYMPIC & PARALYMPIC COMMITTEE","133163813","Other","","Other organization with annual revenue of approximately $10091M"
"MERCY HEALTH","234416540","Health","","Health organization with annual revenue of approximately $10008M"
"GEORGETOWN UNIVERSITY","530196603","Education","","Education organization with annual revenue of approximately $9964M"
"ADVOCATE HEALTH AND HOSPITALS CORPORATION","362263381","Health","","Health organization with annual revenue of approximately $9902M"
"INOVA HEALTH SYSTEM FOUNDATION","541607060","Health","","Health organization with annual revenue of approximately $9862M"
"MEMORIAL SLOAN-KETTERING CANCER CENTER","131624082","Health","","Health organization with annual revenue of approximately $9798M"
"PROVIDENCE ST JOSEPH HEALTH","910386686","Health","","Health organization with annual revenue of approximately $9735M"
"UNIVERSITY OF PENNSYLVANIA HEALTH SYSTEM","232797168","Health","","Health organization with annual revenue of approximately $9718M"
"BOSTON UNIVERSITY","042103547","Education","","Education organization with annual revenue of approximately $9665M"
"BJC HEALTHCARE","430653443","Health","","Health organization with annual revenue of approximately $9618M"
"THE GEORGE WASHINGTON UNIVERSITY","530196584","Education","","Education organization with annual revenue of approximately $9550M"
"INDIANA UNIVERSITY HEALTH INC","350867792","Health","","Health organization with annual revenue of approximately $9526M"
"MEMORIAL HERMANN HEALTH SYSTEM","760277052","Health","","Health organization with annual revenue of approximately $9475M"
"NATIONWIDE CHILDREN'S HOSPITAL","314965648","Health","","Health organization with annual revenue of approximately $9352M"
"THE CHILDREN'S HOSPITAL CORPORATION","042774032","Health","","Health organization with annual revenue of approximately $9272M"
"PARTNERS HEALTHCARE SYSTEM INC","223091947","Health","","Health organization with annual revenue of approximately $9268M"
"SPECTRUM HEALTH","381359619","Health","","Health organization with annual revenue of approximately $9221M"
"HOUSTON METHODIST","741001255","Health","","Health organization with annual revenue of approximately $9206M"
"BAPTIST HEALTH SOUTH FLORIDA INC","590985095","Health","","Health organization with annual revenue of approximately $9122M"
"OCHSNER CLINIC FOUNDATION","720742068","Health","","Health organization with annual revenue of approximately $8990M"
"KAISER FOUNDATION HEALTH PLAN OF COLORADO","840477001","Health","","Health organization with annual revenue of approximately $8958M"
"SHARP HEALTHCARE","956043522","Health","","Health organization with annual revenue of approximately $8893M"
"HABITAT FOR HUMANITY INTERNATIONAL INC","911914868","Human Services","","Human Services organization with annual revenue of approximately $8860M"
"DANA-FARBER CANCER INSTITUTE INC","042263040","Health","","Health organization with annual revenue of approximately $8857M"
"WILLIAM MARSH RICE UNIVERSITY","740877555","Education","","Education organization with annual revenue of approximately $8839M"
"MEDSTAR HEALTH INC","352068502","Health","","Health organization with annual revenue of approximately $8838M"
"KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST","930561423","Health","","Health organization with annual revenue of approximately $8802M"
"NORTHWESTERN MEMORIAL HOSPITAL","362244563","Health","","Health organization with annual revenue of approximately $8790M"
"ATRIUM HEALTH","560527747","Health","","Health organization with annual revenue of approximately $8752M"
"UNIVERSITY OF ROCHESTER","160743209","Education","","Education organization with annual revenue of approximately $8733M"
"TUFTS UNIVERSITY","042103634","Education","","Education organization with annual revenue of approximately $8679M"
"KAISER FOUNDATION HEALTH PLAN OF WASHINGTON","910819851","Health","","Health organization with annual revenue of approximately $8623M"
"THE SALVATION ARMY","580660690","Human Services","","Human Services organization with annual revenue of approximately $8584M"
"THE METHODIST HOSPITAL SYSTEM","760640226","Health","","Health organization with annual revenue of approximately $8520M"
"CHRISTUS HEALTH","742823621","Human Services","","Human Services organization with annual revenue of approximately $8511M"
"UNIVERSITY OF PITTSBURGH MEDICAL CENTER","251857179","Education","","Education organization with annual revenue of approximately $8498M"
"AMERICAN UNIVERSITY","530196467","Education","","Education organization with annual revenue of approximately $8472M"
"CALIFORNIA INSTITUTE OF TECHNOLOGY","951643307","Education","","Education organization with annual revenue of approximately $8464M"
"BROWN UNIVERSITY IN PROVIDENCE IN THE STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS","050258809","Education","","Education organization with annual revenue of approximately $8454M"
"UNIVERSITY OF IOWA HOSPITALS AND CLINICS","426002033","Education","","Education organization with annual revenue of approximately $8425M"
"CHRISTIAN HEALTH CARE CENTER","061071549","Health","","Health organization with annual revenue of approximately $8424M"
"NOVANT HEALTH INC","561262907","Health","","Health organization with annual revenue of approximately $8413M"
"SENTARA HEALTHCARE","546014146","Health","","Health organization with annual revenue of approximately $8360M"
"THE ROCKEFELLER UNIVERSITY","131624090","Education","","Education organization with annual revenue of approximately $8355M"
"UNIVERSITY OF WISCONSIN HOSPITAL AND CLINICS AUTHORITY","391988059","Education","","Education organization with annual revenue of approximately $8312M"
"AMERICAN NATIONAL RED CROSS","530196605","Human Services","","Human Services organization with annual revenue of approximately $8259M"
"ST JUDE CHILDREN'S RESEARCH HOSPITAL INC","620646012","Health","","Health organization with annual revenue of approximately $8218M"
"FAIRVIEW HEALTH SERVICES","410872885","Health","","Health organization with annual revenue of approximately $8216M"
