charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_1_value,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_2_value,item_3_name,item_3_category,item_3_condition,item_3_quantity,item_3_value
Community Arts Center,2024-02-03,cash,300,Annual contribution,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-02-09,miles,78.39,117 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-02-13,cash,150,Monthly donation,,,,,,,,,,,,,,,
METROPOLITAN MUSEUM OF ART,2024-02-12,stock,3013.63,Amazon - 21 shares at $143.51/share,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-02-09,miles,91.12,136 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-02-12,stock,4592.19,Amazon - 28 shares at $164.01/share,,,,,,,,,,,,,,,
Community Arts Center,2024-02-15,cash,200,Monthly donation,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-02-22,cash,200,Year-end giving,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-02-22,items,270.0,Decluttering donation,E-Reader,Electronics,very_good,1,70.0,Monitor - 4K,Electronics,very_good,1,200.0,,,,,
SCHOLARSHIP AMERICA,2024-02-22,stock,7178.5,Amazon - 47 shares at $152.73/share,,,,,,,,,,,,,,,
Community Arts Center,2024-02-28,items,8.0,Decluttering donation,Brooch,Jewelry & Accessories,good,1,8.0,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-02-27,items,60.0,Seasonal donation,Bracelet - Charm,Jewelry & Accessories,good,4,60.0,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-02-25,items,82.0,Estate donation,Puzzle - 1000pc,Books & Media,excellent,4,72.0,CD Box Set,Books & Media,good,1,10.0,,,,,
SCHOLARSHIP AMERICA,2024-03-01,miles,63.65,95 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
MAYO CLINIC,2024-03-01,crypto,127.54,Cardano donation - 418.33 units,,,,,,,,,,,,,,,
Community Arts Center,2024-03-03,cash,75,Annual contribution,,,,,,,,,,,,,,,
Local Arts Foundation,2024-03-10,cash,100,Monthly donation,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-03-15,cash,500,Special appeal,,,,,,,,,,,,,,,
Community Arts Center,2024-03-16,stock,3353.94,Johnson & Johnson - 20 shares at $167.70/share,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-03-16,stock,7247.53,Walmart - 41 shares at $176.77/share,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-03-14,stock,5559.3,Walmart - 32 shares at $173.73/share,,,,,,,,,,,,,,,
Local Arts Foundation,2024-03-15,cash,150,Annual contribution,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-03-22,items,55.0,Year-end donation,Necklace - Gold Plated,Jewelry & Accessories,excellent,1,55.0,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-03-27,cash,250,Year-end giving,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-03-30,cash,250,Special appeal,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-03-30,miles,94.47,141 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-03-30,cash,200,Year-end giving,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-04-01,cash,200,Monthly donation,,,,,,,,,,,,,,,
MAYO CLINIC,2024-04-02,cash,50,Special appeal,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-04-07,cash,200,Year-end giving,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-04-10,cash,50,General support,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-04-14,miles,119.26,178 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-04-13,stock,2032.48,Apple Inc. - 12 shares at $169.37/share,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-04-11,cash,250,General support,,,,,,,,,,,,,,,
Local Arts Foundation,2024-04-16,cash,100,Annual contribution,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-04-17,crypto,94.64,Ethereum donation - 0.0334 units,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-04-24,cash,150,Year-end giving,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-04-26,items,1200.0,Estate donation,TV - 43 inch,Electronics,excellent,4,1200.0,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-04-23,items,125.0,Estate donation,Hair Accessories,Jewelry & Accessories,very_good,1,20.0,Watch - Vintage,Jewelry & Accessories,good,1,30.0,Earrings - Diamond Style,Jewelry & Accessories,excellent,1,75.0
Local Arts Foundation,2024-05-03,cash,500,Special appeal,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-04-25,items,200.0,Year-end donation,Headphones - Noise Cancel,Electronics,excellent,1,200.0,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-05-03,cash,500,Monthly donation,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-05-07,items,31.0,Spring cleaning donation,Puzzle - 1000pc,Books & Media,very_good,2,20.0,Novel - Paperback,Books & Media,very_good,1,3.0,Vinyl Record - New,Books & Media,good,1,8.0
KHAN ACADEMY,2024-05-08,cash,300,Annual contribution,,,,,,,,,,,,,,,
Local Arts Foundation,2024-05-14,miles,50.92,76 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-05-16,cash,150,Special appeal,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-05-16,cash,250,Monthly donation,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-05-11,miles,99.16,148 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-05-21,items,142.0,Estate donation,Bracelet - Bangle,Jewelry & Accessories,good,4,40.0,Pendant,Jewelry & Accessories,very_good,1,30.0,Earrings - Fashion,Jewelry & Accessories,excellent,4,72.0
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-05-22,cash,200,Special appeal,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-05-22,cash,500,Year-end giving,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-05-25,cash,500,Year-end giving,,,,,,,,,,,,,,,
MAYO CLINIC,2024-05-22,cash,400,Annual contribution,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-05-26,items,28.0,Year-end donation,Sunglasses - Regular,Jewelry & Accessories,excellent,1,28.0,,,,,,,,,,
METROPOLITAN MUSEUM OF ART,2024-05-30,cash,50,General support,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-06-02,items,55.0,Year-end donation,Bracelet - Charm,Jewelry & Accessories,excellent,1,55.0,,,,,,,,,,
KHAN ACADEMY,2024-05-31,crypto,589.48,Bitcoin donation - 0.0131 units,,,,,,,,,,,,,,,
Community Arts Center,2024-06-09,items,820.0,Decluttering donation,Scanner,Electronics,very_good,1,60.0,Printer - All-in-One,Electronics,good,1,60.0,All-in-One PC,Electronics,very_good,2,700.0
MAYO CLINIC,2024-06-03,cash,500,Special appeal,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-06-07,items,105.0,Year-end donation,Encyclopedia Set,Books & Media,very_good,1,50.0,Board Game - Strategy,Books & Media,excellent,1,55.0,,,,,
NATIONAL GALLERY OF ART,2024-06-17,stock,5576.81,Apple Inc. - 31 shares at $179.90/share,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-06-12,miles,85.76,128 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
METROPOLITAN MUSEUM OF ART,2024-06-22,stock,15181.87,Microsoft - 42 shares at $361.47/share,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-06-23,miles,99.83,149 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-06-16,stock,4582.75,Microsoft - 13 shares at $352.52/share,,,,,,,,,,,,,,,
MAYO CLINIC,2024-06-19,items,20.0,Spring cleaning donation,Earrings - Fashion,Jewelry & Accessories,good,1,5.0,Brooch,Jewelry & Accessories,very_good,1,15.0,,,,,
Local Arts Foundation,2024-06-26,stock,4441.52,Walmart - 25 shares at $177.66/share,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-06-27,stock,7344.33,Alphabet - 50 shares at $146.89/share,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-07-01,cash,75,Annual contribution,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-07-03,items,745.0,Year-end donation,Headphones - Regular,Electronics,very_good,1,35.0,Tablet - iPad,Electronics,very_good,4,700.0,Flash Drive Set,Electronics,good,1,10.0
PUBLIC BROADCASTING SERVICE,2024-07-03,cash,100,Monthly donation,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-07-11,items,220.0,Year-end donation,Earrings - Gold Plated,Jewelry & Accessories,excellent,1,35.0,Watch - Luxury Style,Jewelry & Accessories,excellent,1,185.0,,,,,
PUBLIC BROADCASTING SERVICE,2024-07-14,crypto,73.9,Ethereum donation - 0.0261 units,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-07-16,miles,109.88,164 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-07-14,cash,500,Special appeal,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-07-13,cash,100,General support,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-07-16,items,460.0,Spring cleaning donation,Desktop - Office,Electronics,very_good,1,250.0,Keyboard - Mechanical,Electronics,excellent,1,110.0,Smartwatch,Electronics,very_good,1,100.0
Local Arts Foundation,2024-07-24,cash,500,Year-end giving,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-07-27,cash,200,Monthly donation,,,,,,,,,,,,,,,
MAYO CLINIC,2024-07-24,miles,15.41,23 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
METROPOLITAN MUSEUM OF ART,2024-07-29,stock,2037.69,Apple Inc. - 12 shares at $169.81/share,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-07-28,cash,150,Annual contribution,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-08-01,stock,7384.83,Johnson & Johnson - 48 shares at $153.85/share,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-08-03,cash,500,General support,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-08-01,cash,50,Year-end giving,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-08-09,cash,150,Year-end giving,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-08-11,stock,5522.66,Tesla - 20 shares at $276.13/share,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-08-10,items,27.0,Decluttering donation,Comic Book,Books & Media,excellent,1,8.0,Textbook - Business,Books & Media,good,1,12.0,Picture Book,Books & Media,excellent,1,7.0
SCHOLARSHIP AMERICA,2024-08-13,items,56.0,Spring cleaning donation,Mouse - Regular,Electronics,excellent,2,56.0,,,,,,,,,,
METROPOLITAN MUSEUM OF ART,2024-08-09,items,4.0,Spring cleaning donation,Blu-ray - Movie,Books & Media,good,1,4.0,,,,,,,,,,
KHAN ACADEMY,2024-08-15,crypto,1566.65,Bitcoin donation - 0.0411 units,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-08-14,cash,100,Special appeal,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-08-21,cash,500,Monthly donation,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-08-18,cash,50,Year-end giving,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-08-30,cash,50,Special appeal,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-08-27,miles,79.73,119 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-08-27,items,120.0,Spring cleaning donation,Magazine Collection,Books & Media,very_good,1,10.0,Vinyl Collection,Books & Media,excellent,1,110.0,,,,,
NATIONAL PUBLIC RADIO,2024-08-31,miles,94.47,141 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
Community Arts Center,2024-09-01,cash,250,General support,,,,,,,,,,,,,,,
Community Arts Center,2024-09-02,miles,127.97,191 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-09-07,miles,109.88,164 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
Community Arts Center,2024-09-08,stock,3378.28,Amazon - 24 shares at $140.76/share,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-09-10,cash,500,Monthly donation,,,,,,,,,,,,,,,
Community Arts Center,2024-09-14,items,70.0,Decluttering donation,Necklace - Gold Plated,Jewelry & Accessories,very_good,1,30.0,Earrings - Diamond Style,Jewelry & Accessories,very_good,1,40.0,,,,,
NATIONAL GALLERY OF ART,2024-09-14,cash,400,Year-end giving,,,,,,,,,,,,,,,
METROPOLITAN MUSEUM OF ART,2024-09-23,miles,83.75,125 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-09-15,cash,250,Monthly donation,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-09-18,stock,14839.58,Microsoft - 41 shares at $361.94/share,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-09-23,items,15.0,Spring cleaning donation,Pendant,Jewelry & Accessories,good,1,15.0,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-09-30,items,78.0,Estate donation,Anklet,Jewelry & Accessories,excellent,1,28.0,Bracelet - Tennis,Jewelry & Accessories,very_good,1,50.0,,,,,
KHAN ACADEMY,2024-09-25,items,110.0,Year-end donation,Ring - Fashion,Jewelry & Accessories,very_good,1,20.0,Earrings - Gold Plated,Jewelry & Accessories,excellent,1,35.0,Necklace - Gold Plated,Jewelry & Accessories,excellent,1,55.0
KHAN ACADEMY,2024-09-27,items,11.0,Estate donation,Cookbook - Paperback,Books & Media,excellent,1,11.0,,,,,,,,,,
Community Arts Center,2024-10-05,cash,150,Annual contribution,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-10-02,cash,300,Year-end giving,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-10-12,stock,6733.15,Walmart - 39 shares at $172.64/share,,,,,,,,,,,,,,,
METROPOLITAN MUSEUM OF ART,2024-10-08,miles,53.6,80 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-10-16,cash,200,Annual contribution,,,,,,,,,,,,,,,
Local Arts Foundation,2024-10-18,items,75.0,Spring cleaning donation,Soundbar,Electronics,good,1,40.0,Speakers - Computer,Electronics,very_good,1,35.0,,,,,
SMITHSONIAN INSTITUTION,2024-10-15,miles,123.28,184 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-10-20,cash,50,Special appeal,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-10-17,cash,50,Monthly donation,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-10-19,cash,75,Special appeal,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-10-28,cash,300,Year-end giving,,,,,,,,,,,,,,,
SMITHSONIAN INSTITUTION,2024-10-23,items,108.0,Seasonal donation,CD Box Set,Books & Media,excellent,3,105.0,CD Album,Books & Media,very_good,1,3.0,,,,,
METROPOLITAN MUSEUM OF ART,2024-10-31,stock,1167.92,Amazon - 7 shares at $166.85/share,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-10-27,cash,500,Annual contribution,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-11-05,cash,50,Annual contribution,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-11-04,cash,500,Monthly donation,,,,,,,,,,,,,,,
Community Arts Center,2024-11-05,stock,4242.96,Tesla - 18 shares at $235.72/share,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-11-05,miles,106.53,159 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-11-07,cash,200,Special appeal,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-11-10,cash,50,General support,,,,,,,,,,,,,,,
Community Arts Center,2024-11-12,items,24.0,Decluttering donation,Novel - Hardcover,Books & Media,excellent,1,9.0,Vinyl Record - New,Books & Media,very_good,1,15.0,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-11-21,cash,75,General support,,,,,,,,,,,,,,,
Local Arts Foundation,2024-11-22,stock,1551.4,Amazon - 11 shares at $141.04/share,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-11-23,crypto,130.75,Cardano donation - 258.75 units,,,,,,,,,,,,,,,
PUBLIC BROADCASTING SERVICE,2024-11-25,cash,50,General support,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-11-29,items,42.0,Spring cleaning donation,Comic Book,Books & Media,good,1,2.0,Blu-ray Box Set,Books & Media,very_good,1,40.0,,,,,
METROPOLITAN MUSEUM OF ART,2024-11-24,cash,100,Annual contribution,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-11-25,cash,250,General support,,,,,,,,,,,,,,,
Community Arts Center,2024-12-03,cash,75,Annual contribution,,,,,,,,,,,,,,,
LINCOLN CENTER FOR THE PERFORMING ARTS,2024-11-30,cash,500,Special appeal,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-12-08,cash,400,Monthly donation,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-12-04,stock,2616.88,Apple Inc. - 17 shares at $153.93/share,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-12-14,items,205.0,Estate donation,Router,Electronics,very_good,1,55.0,E-Reader,Electronics,good,1,40.0,Smartphone - Android Mid,Electronics,very_good,1,110.0
METROPOLITAN MUSEUM OF ART,2024-12-16,cash,250,Annual contribution,,,,,,,,,,,,,,,
KHAN ACADEMY,2024-12-11,items,25.0,Year-end donation,Speakers - Bluetooth,Electronics,good,1,25.0,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-12-17,cash,50,Special appeal,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-12-25,cash,100,Monthly donation,,,,,,,,,,,,,,,
NATIONAL PUBLIC RADIO,2024-12-19,items,12.0,Decluttering donation,Card Game,Books & Media,very_good,1,10.0,VHS Movie,Books & Media,very_good,1,2.0,,,,,
NATIONAL PUBLIC RADIO,2024-12-26,cash,300,Year-end giving,,,,,,,,,,,,,,,
NATIONAL GALLERY OF ART,2024-12-28,cash,100,Monthly donation,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-12-29,cash,250,General support,,,,,,,,,,,,,,,
