charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_1_value,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_2_value,item_3_name,item_3_category,item_3_condition,item_3_quantity,item_3_value
ALZHEIMERS ASSOCIATION,2024-06-10,miles,42.21,63 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-06-07,cash,300,Annual contribution,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-06-06,stock,6542.71,Johnson & Johnson - 39 shares at $167.76/share,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-06-17,crypto,163.78,Cardano donation - 287.71 units,,,,,,,,,,,,,,,
Local Health Foundation,2024-06-09,crypto,33.42,Cardano donation - 73.53 units,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-06-17,cash,150,General support,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-06-20,cash,250,Year-end giving,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-06-22,items,80.0,Spring cleaning donation,Slow Cooker,Appliances,good,1,15.0,Rice Cooker,Appliances,excellent,1,55.0,Ironing Board,Appliances,good,1,10.0
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-06-26,stock,2595.27,Amazon - 16 shares at $162.20/share,,,,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-06-19,stock,17483.03,Microsoft - 47 shares at $371.98/share,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-07-01,miles,45.56,68 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-06-28,cash,200,Monthly donation,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-07-05,stock,6685.81,Microsoft - 17 shares at $393.28/share,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-06-30,miles,21.44,32 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
Local Health Foundation,2024-07-03,stock,4845.92,Walmart - 30 shares at $161.53/share,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-07-06,crypto,95.3,Cardano donation - 222.0 units,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-07-08,stock,2271.83,Alphabet - 16 shares at $141.99/share,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-07-11,cash,400,Year-end giving,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-07-12,miles,99.16,148 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-07-17,cash,75,Annual contribution,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-07-14,stock,2117.77,Alphabet - 15 shares at $141.18/share,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-07-22,stock,15808.91,Microsoft - 40 shares at $395.22/share,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-07-25,items,90.0,Seasonal donation,Textbook - Business,Books & Media,very_good,3,75.0,Dictionary,Books & Media,very_good,1,10.0,Novel - Paperback,Books & Media,excellent,1,5.0
SCHOLARSHIP AMERICA,2024-07-23,cash,300,Year-end giving,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-07-29,miles,112.56,168 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
Community Health Center,2024-07-23,cash,50,Monthly donation,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-07-25,miles,60.3,90 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-08-02,cash,150,Monthly donation,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-08-04,cash,500,Year-end giving,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-08-08,stock,3446.68,Apple Inc. - 21 shares at $164.13/share,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-08-06,miles,33.5,50 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-08-12,stock,8565.11,Tesla - 39 shares at $219.62/share,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-08-13,items,48.0,Seasonal donation,Video Game - Retro,Books & Media,good,4,20.0,Vinyl Record - New,Books & Media,excellent,1,28.0,,,,,
ALZHEIMERS ASSOCIATION,2024-08-15,miles,75.04,112 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-08-14,crypto,90.89,Ethereum donation - 0.0306 units,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-08-17,items,830.0,Seasonal donation,Refrigerator - Full,Appliances,excellent,1,750.0,Vacuum - Upright,Appliances,very_good,1,80.0,,,,,
ALZHEIMERS ASSOCIATION,2024-08-12,cash,100,Annual contribution,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-08-15,cash,50,Special appeal,,,,,,,,,,,,,,,
MAYO CLINIC,2024-08-16,cash,500,Monthly donation,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-08-28,items,400.0,Seasonal donation,Camera - DSLR,Electronics,very_good,1,400.0,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-08-28,cash,300,Special appeal,,,,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-08-31,items,50.0,Year-end donation,Young Adult Novel,Books & Media,very_good,4,20.0,Puzzle - 500pc,Books & Media,very_good,1,6.0,Blu-ray - Movie,Books & Media,excellent,2,24.0
RONALD MCDONALD HOUSE CHARITIES,2024-08-25,stock,1351.47,Tesla - 5 shares at $270.29/share,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-09-03,stock,2040.57,Tesla - 10 shares at $204.06/share,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-09-04,crypto,51.68,Ethereum donation - 0.0246 units,,,,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-08-31,cash,50,Monthly donation,,,,,,,,,,,,,,,
Community Health Center,2024-09-12,items,46.0,Decluttering donation,Picture Book,Books & Media,excellent,4,28.0,Magazine Collection,Books & Media,excellent,1,18.0,,,,,
TEACH FOR AMERICA,2024-09-07,items,110.0,Spring cleaning donation,Food Processor,Appliances,excellent,1,110.0,,,,,,,,,,
Community Health Center,2024-09-08,cash,75,Special appeal,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-09-16,items,240.0,Year-end donation,Tablet - iPad,Electronics,good,1,100.0,Printer - Inkjet,Electronics,good,1,30.0,Router,Electronics,very_good,2,110.0
MAYO CLINIC,2024-09-12,cash,150,General support,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-09-16,crypto,1380.01,Bitcoin donation - 0.0395 units,,,,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-09-19,cash,400,Special appeal,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-09-22,miles,121.94,182 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
MAYO CLINIC,2024-09-27,cash,75,Special appeal,,,,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-09-23,items,6.0,Estate donation,Novel - Paperback,Books & Media,good,3,6.0,,,,,,,,,,
Community Health Center,2024-10-01,items,600.0,Year-end donation,Monitor - 4K,Electronics,very_good,1,200.0,PlayStation 5,Electronics,good,1,200.0,Home Theater System,Electronics,very_good,1,200.0
AMERICAN DIABETES ASSOCIATION,2024-09-24,items,255.0,Spring cleaning donation,Rice Cooker,Appliances,good,3,45.0,Coffee Maker - Espresso,Appliances,good,1,50.0,Vacuum - Upright,Appliances,good,4,160.0
AMERICAN DIABETES ASSOCIATION,2024-10-01,cash,75,Year-end giving,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-09-29,items,250.0,Year-end donation,Blender - Regular,Appliances,excellent,4,220.0,Coffee Maker - Drip,Appliances,very_good,1,30.0,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-10-03,cash,500,Year-end giving,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-10-10,crypto,106.72,Ethereum donation - 0.0369 units,,,,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-10-09,stock,10730.54,Tesla - 42 shares at $255.49/share,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-10-08,items,860.0,Estate donation,Smartphone - iPhone Pro,Electronics,very_good,2,800.0,Streaming Device,Electronics,excellent,1,60.0,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-10-14,miles,77.72,116 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
Community Health Center,2024-10-16,cash,250,General support,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-10-15,crypto,124.53,Cardano donation - 304.24 units,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-10-22,stock,4423.02,Tesla - 18 shares at $245.72/share,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-10-18,cash,250,Special appeal,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-10-21,cash,200,General support,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-10-21,miles,103.85,155 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
MAYO CLINIC,2024-10-23,crypto,550.78,Bitcoin donation - 0.0172 units,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-10-30,cash,75,Monthly donation,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-11-01,miles,95.81,143 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-10-30,cash,150,Special appeal,,,,,,,,,,,,,,,
MAYO CLINIC,2024-11-08,miles,56.95,85 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-11-11,cash,50,Annual contribution,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-11-08,crypto,1166.09,Bitcoin donation - 0.0287 units,,,,,,,,,,,,,,,
MAYO CLINIC,2024-11-10,cash,250,General support,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-11-12,miles,50.25,75 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
Local Health Foundation,2024-11-11,cash,250,Special appeal,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-11-11,miles,55.61,83 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
Community Health Center,2024-11-20,cash,150,Monthly donation,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-11-23,cash,500,Monthly donation,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-11-21,cash,300,General support,,,,,,,,,,,,,,,
MAYO CLINIC,2024-11-26,items,4.0,Decluttering donation,Comic Book,Books & Media,very_good,1,4.0,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-11-29,cash,250,General support,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-11-25,miles,54.94,82 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
Local Health Foundation,2024-12-01,cash,150,Monthly donation,,,,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-11-28,cash,400,General support,,,,,,,,,,,,,,,
MAYO CLINIC,2024-12-05,cash,500,Monthly donation,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-12-01,stock,5741.22,Alphabet - 37 shares at $155.17/share,,,,,,,,,,,,,,,
Local Health Foundation,2024-12-05,miles,87.77,131 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-12-09,cash,100,Year-end giving,,,,,,,,,,,,,,,
MAYO CLINIC,2024-12-08,items,250.0,Seasonal donation,Instant Pot,Appliances,very_good,3,210.0,Humidifier,Appliances,very_good,1,40.0,,,,,
MAYO CLINIC,2024-12-19,cash,500,Annual contribution,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-12-11,cash,250,Annual contribution,,,,,,,,,,,,,,,
Local Health Foundation,2024-12-23,cash,50,Year-end giving,,,,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-12-25,items,170.0,Estate donation,Air Purifier,Appliances,very_good,1,60.0,Rice Cooker,Appliances,very_good,1,30.0,Iron,Appliances,very_good,4,80.0
AMERICAN DIABETES ASSOCIATION,2024-12-22,cash,50,Special appeal,,,,,,,,,,,,,,,
Community Health Center,2024-12-28,items,350.0,Year-end donation,Soundbar,Electronics,very_good,1,75.0,Camera Lens,Electronics,excellent,1,275.0,,,,,
SCHOLARSHIP AMERICA,2024-12-22,cash,50,Year-end giving,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-12-29,items,220.0,Decluttering donation,Speakers - Bluetooth,Electronics,very_good,1,45.0,Smartwatch,Electronics,excellent,1,175.0,,,,,
