charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_3_name,item_3_category,item_3_condition,item_3_quantity
SHRINERS HOSPITALS FOR CHILDREN,2024-01-30,cash,100,General support,,,,,,,,,,,,
PENCILS OF PROMISE,2024-02-08,stock,5690.98,Alphabet - 37 shares at $153.81/share,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-02-04,cash,400,General support,,,,,,,,,,,,
MAYO CLINIC,2024-02-05,stock,3512.28,Amazon - 23 shares at $152.71/share,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-02-10,miles,73.7,110 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-02-10,cash,250,Year-end giving,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-02-16,items,,Seasonal donation,Vacuum - Dyson,Appliances,good,1,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-02-14,miles,119.26,178 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
Local Health Foundation,2024-02-16,cash,300,Monthly donation,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-02-20,cash,50,Monthly donation,,,,,,,,,,,,
PENCILS OF PROMISE,2024-02-27,items,,Spring cleaning donation,All-in-One PC,Electronics,excellent,1,,,,,,,,
Local Health Foundation,2024-02-23,miles,105.19,157 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-02-25,stock,4745.14,Alphabet - 30 shares at $158.17/share,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-02-29,cash,75,Year-end giving,,,,,,,,,,,,
MAYO CLINIC,2024-03-06,miles,95.14,142 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
MAYO CLINIC,2024-03-05,cash,400,Special appeal,,,,,,,,,,,,
MAYO CLINIC,2024-03-06,cash,150,Year-end giving,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-03-10,stock,15558.6,Microsoft - 38 shares at $409.44/share,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-03-12,stock,7240.91,Amazon - 48 shares at $150.85/share,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-03-08,cash,400,Special appeal,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-03-12,cash,50,Emergency fund,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-03-18,cash,500,Annual contribution,,,,,,,,,,,,
PENCILS OF PROMISE,2024-03-17,items,,Seasonal donation,Comic Book,Books & Media,very_good,3,Video Game - New,Books & Media,very_good,1,DVD - Movie,Books & Media,excellent,4
AMERICAN CANCER SOCIETY,2024-03-22,cash,250,Annual contribution,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-03-27,stock,6027.02,Amazon - 41 shares at $147.00/share,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-03-27,cash,400,Year-end giving,,,,,,,,,,,,
Local Health Foundation,2024-03-27,stock,19992.89,Microsoft - 49 shares at $408.02/share,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-03-30,cash,200,General support,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-03-30,cash,200,Emergency fund,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-04-06,miles,40.87,61 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-04-04,items,,Decluttering donation,Blu-ray Box Set,Books & Media,very_good,2,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-04-09,items,,Year-end donation,Dictionary,Books & Media,excellent,1,Graphic Novel,Books & Media,good,1,,,,
AMERICAN HEART ASSOCIATION,2024-04-11,miles,48.91,73 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-04-07,items,,Decluttering donation,Dryer,Appliances,excellent,2,Electric Kettle,Appliances,very_good,1,,,,
AMERICAN DIABETES ASSOCIATION,2024-04-14,items,,Estate donation,Dishwasher,Appliances,very_good,4,Fan - Ceiling,Appliances,very_good,1,Blender - High End,Appliances,good,4
AMERICAN HEART ASSOCIATION,2024-04-10,cash,200,Year-end giving,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-04-15,cash,100,Special appeal,,,,,,,,,,,,
MAYO CLINIC,2024-04-22,miles,50.25,75 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
MAYO CLINIC,2024-04-26,cash,75,General support,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-04-27,cash,300,Annual contribution,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-04-27,cash,50,Year-end giving,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-04-30,crypto,85.86,Cardano donation - 204.44 units,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-05-01,cash,250,General support,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-04-28,crypto,228.7,Cardano donation - 463.05 units,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-04-29,cash,300,Year-end giving,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-05-08,stock,1612.72,Alphabet - 11 shares at $146.61/share,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-05-02,crypto,173.15,Cardano donation - 466.03 units,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-05-15,cash,500,Monthly donation,,,,,,,,,,,,
Local Health Foundation,2024-05-07,items,,Estate donation,4K Movie,Books & Media,good,4,,,,,,,,
PENCILS OF PROMISE,2024-05-18,cash,150,Emergency fund,,,,,,,,,,,,
Local Health Foundation,2024-05-11,miles,67.0,100 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
MAYO CLINIC,2024-05-13,items,,Estate donation,Scanner,Electronics,excellent,2,TV - 55 inch,Electronics,excellent,3,Smartphone - Android High,Electronics,very_good,1
AMERICAN DIABETES ASSOCIATION,2024-05-20,cash,150,Year-end giving,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-05-17,items,,Estate donation,Fan - Ceiling,Appliances,very_good,1,Range - Gas,Appliances,excellent,1,Rice Cooker,Appliances,excellent,2
PENCILS OF PROMISE,2024-05-21,cash,150,Annual contribution,,,,,,,,,,,,
MAYO CLINIC,2024-05-21,miles,77.05,115 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-05-24,cash,400,General support,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-05-29,items,,Moving donation,Dishwasher,Appliances,excellent,3,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-06-02,crypto,15.89,Ethereum donation - 0.0073 units,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-06-08,stock,2960.03,Amazon - 18 shares at $164.45/share,,,,,,,,,,,,
Community Health Center,2024-06-02,stock,4577.32,Alphabet - 29 shares at $157.84/share,,,,,,,,,,,,
MAYO CLINIC,2024-06-12,stock,5438.81,Apple Inc. - 35 shares at $155.39/share,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-06-05,cash,200,Monthly donation,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-06-10,cash,50,Emergency fund,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-06-10,miles,13.4,20 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-06-13,stock,6331.68,Microsoft - 16 shares at $395.73/share,,,,,,,,,,,,
Local Health Foundation,2024-06-13,crypto,51.75,Cardano donation - 108.76 units,,,,,,,,,,,,
MAYO CLINIC,2024-06-17,cash,250,Special appeal,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-06-20,items,,Year-end donation,Range - Electric,Appliances,very_good,1,Coffee Maker - Espresso,Appliances,excellent,1,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-06-23,miles,77.72,116 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-06-23,miles,56.95,85 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-07-03,items,,Spring cleaning donation,Board Game - Classic,Books & Media,excellent,1,Cookbook - Paperback,Books & Media,excellent,1,Cookbook - Hardcover,Books & Media,very_good,1
Local Health Foundation,2024-07-03,cash,100,Monthly donation,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-07-01,miles,116.58,174 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-07-05,cash,50,Year-end giving,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-07-08,cash,50,Year-end giving,,,,,,,,,,,,
MAYO CLINIC,2024-07-05,cash,250,Monthly donation,,,,,,,,,,,,
MAYO CLINIC,2024-07-14,crypto,77.86,Cardano donation - 184.14 units,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-07-13,crypto,1877.33,Bitcoin donation - 0.0438 units,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-07-11,stock,8448.46,Tesla - 41 shares at $206.06/share,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-07-15,miles,63.65,95 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-07-24,cash,400,General support,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-07-26,cash,50,Special appeal,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-07-24,items,,Seasonal donation,Range - Electric,Appliances,very_good,1,,,,,,,,
PENCILS OF PROMISE,2024-07-29,cash,400,Annual contribution,,,,,,,,,,,,
Local Health Foundation,2024-07-28,crypto,118.09,Ethereum donation - 0.0443 units,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-08-04,items,,Moving donation,Headphones - Noise Cancel,Electronics,excellent,4,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-08-02,crypto,99.65,Ethereum donation - 0.0431 units,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-08-06,cash,200,General support,,,,,,,,,,,,
PENCILS OF PROMISE,2024-08-07,items,,Decluttering donation,Earbuds - Wired,Electronics,excellent,1,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-08-12,cash,300,Annual contribution,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-08-06,miles,96.48,144 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-08-13,stock,5795.06,Microsoft - 14 shares at $413.93/share,,,,,,,,,,,,
PENCILS OF PROMISE,2024-08-12,miles,96.48,144 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
Local Health Foundation,2024-08-21,cash,250,Year-end giving,,,,,,,,,,,,
PENCILS OF PROMISE,2024-08-13,crypto,2008.85,Bitcoin donation - 0.0484 units,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-08-18,miles,119.26,178 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-08-22,items,,Seasonal donation,VR Headset,Electronics,good,1,Printer - All-in-One,Electronics,good,1,Laptop - Gaming,Electronics,good,1
PENCILS OF PROMISE,2024-08-28,miles,30.82,46 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-08-29,cash,500,Annual contribution,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-09-01,cash,75,Monthly donation,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-08-28,items,,Estate donation,All-in-One PC,Electronics,excellent,1,Keyboard - Regular,Electronics,very_good,1,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-09-06,stock,808.61,Alphabet - 5 shares at $161.72/share,,,,,,,,,,,,
PENCILS OF PROMISE,2024-09-04,cash,100,Monthly donation,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-09-09,cash,300,Annual contribution,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-09-10,cash,400,Emergency fund,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-09-14,miles,54.94,82 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-09-11,cash,500,Special appeal,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-09-13,cash,300,Year-end giving,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-09-13,cash,150,Special appeal,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-09-23,cash,50,General support,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-09-21,cash,400,Annual contribution,,,,,,,,,,,,
Local Health Foundation,2024-09-20,miles,77.05,115 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
PENCILS OF PROMISE,2024-09-22,crypto,55.2,Ethereum donation - 0.0232 units,,,,,,,,,,,,
MAYO CLINIC,2024-09-24,items,,Estate donation,Microphone,Electronics,very_good,4,Nintendo Switch,Electronics,good,1,,,,
AMERICAN HEART ASSOCIATION,2024-10-03,crypto,687.73,Bitcoin donation - 0.022 units,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-09-27,stock,2301.52,Alphabet - 14 shares at $164.39/share,,,,,,,,,,,,
PENCILS OF PROMISE,2024-10-06,crypto,24.01,Ethereum donation - 0.0111 units,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-10-03,cash,100,General support,,,,,,,,,,,,
MAYO CLINIC,2024-10-12,items,,Seasonal donation,Fan - Box,Appliances,very_good,1,Vacuum - Canister,Appliances,good,3,Fan - Tower,Appliances,very_good,1
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-10-08,cash,150,Monthly donation,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-10-08,cash,50,General support,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-10-17,cash,150,Annual contribution,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-10-20,items,,Spring cleaning donation,Freezer - Chest,Appliances,good,4,Mixer - Stand,Appliances,excellent,1,,,,
ALZHEIMERS ASSOCIATION,2024-10-13,cash,250,Special appeal,,,,,,,,,,,,
MAYO CLINIC,2024-10-18,cash,400,Annual contribution,,,,,,,,,,,,
Community Health Center,2024-10-23,crypto,39.82,Cardano donation - 81.9 units,,,,,,,,,,,,
Local Health Foundation,2024-10-24,cash,500,Emergency fund,,,,,,,,,,,,
Community Health Center,2024-10-27,stock,6098.98,Alphabet - 40 shares at $152.47/share,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-10-24,cash,250,General support,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-10-31,miles,122.61,183 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-11-03,cash,500,Emergency fund,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-11-04,miles,21.44,32 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-11-10,miles,134.0,200 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
Local Health Foundation,2024-11-12,cash,200,Special appeal,,,,,,,,,,,,
MAYO CLINIC,2024-11-14,cash,100,Annual contribution,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-11-12,stock,6835.98,Alphabet - 43 shares at $158.98/share,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-11-14,crypto,36.84,Cardano donation - 80.85 units,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-11-14,stock,6352.27,Amazon - 40 shares at $158.81/share,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-11-16,stock,4673.55,Alphabet - 34 shares at $137.46/share,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-11-16,crypto,47.82,Cardano donation - 126.76 units,,,,,,,,,,,,
MAYO CLINIC,2024-11-18,miles,37.52,56 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-11-26,stock,11840.6,Tesla - 48 shares at $246.68/share,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-11-27,items,,Decluttering donation,Range - Gas,Appliances,excellent,1,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-12-01,cash,250,Special appeal,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-12-02,items,,Estate donation,Comic Book,Books & Media,excellent,3,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-12-08,cash,75,General support,,,,,,,,,,,,
PENCILS OF PROMISE,2024-12-08,crypto,1593.17,Bitcoin donation - 0.0363 units,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-12-05,items,,Decluttering donation,Home Theater System,Electronics,good,4,External Hard Drive,Electronics,good,1,Camera Lens,Electronics,good,1
MAYO CLINIC,2024-12-11,cash,400,Monthly donation,,,,,,,,,,,,
PENCILS OF PROMISE,2024-12-14,items,,Estate donation,Laptop - Chromebook,Electronics,excellent,1,Camera - DSLR,Electronics,good,1,,,,
Local Health Foundation,2024-12-19,items,,Decluttering donation,Keyboard - Mechanical,Electronics,excellent,1,Camera - DSLR,Electronics,good,1,Desktop - Office,Electronics,good,4
Local Health Foundation,2024-12-15,stock,5148.33,Microsoft - 13 shares at $396.03/share,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-12-19,items,,Spring cleaning donation,Video Game - Retro,Books & Media,excellent,1,CD Box Set,Books & Media,good,1,,,,
SCHOLARSHIP AMERICA,2024-12-20,items,,Decluttering donation,Textbook - Law,Books & Media,good,2,Puzzle - 500pc,Books & Media,very_good,1,Comic Book,Books & Media,good,3
RONALD MCDONALD HOUSE CHARITIES,2024-12-18,cash,75,Special appeal,,,,,,,,,,,,
PENCILS OF PROMISE,2024-12-23,items,,Decluttering donation,Cassette Tape,Books & Media,very_good,1,Atlas,Books & Media,excellent,3,Textbook - Engineering,Books & Media,very_good,1
PENCILS OF PROMISE,2024-12-31,items,,Seasonal donation,Textbook - Engineering,Books & Media,excellent,4,Puzzle - 500pc,Books & Media,good,1,Novel - Paperback,Books & Media,very_good,1
SCHOLARSHIP AMERICA,2024-12-30,crypto,84.15,Ethereum donation - 0.0332 units,,,,,,,,,,,,
