charity_name,donation_date,donation_type,amount,notes
FOOD FOR THE POOR,2025-03-10,items,285.00,"ITEMS:[Pizza Oven - Portable|Kitchen Items|excellent|1|200.00][Baking Sheets|Kitchen Items|very_good|6|60.00][Mixing Bowls|Kitchen Items|good|5|25.00]"
LOCAL FOOD BANK,2025-03-17,miles,59.85,"105 miles at $0.57/mile - Spring food drive coordination"
Mobile Food Pantry,2025-03-24,cash,210.00,Rural outreach expansion
FEEDING AMERICA,2025-04-03,cash,275.00,Monthly food security support
MEALS ON WHEELS AMERICA,2025-04-10,crypto,400.00,Ethereum for delivery vehicle
Youth Culinary Program,2025-04-17,items,325.00,"ITEMS:[Chef Knives|Tools & Equipment|excellent|6|180.00][Cutting Boards|Kitchen Items|very_good|8|80.00][Aprons|Clothing|good|10|65.00]"
FOOD FOR THE POOR,2025-04-24,stock,950.00,ConAgra Foods - 19 shares at $50.00/share
FEEDING AMERICA,2025-05-03,cash,275.00,Monthly food security support
LOCAL FOOD BANK,2025-05-10,items,275.00,"ITEMS:[Grill - Portable|Kitchen Items|excellent|1|180.00][BBQ Tools|Tools & Equipment|very_good|1|55.00][Cooler - Large|Other|good|1|40.00]"
Community Nutrition Center,2025-05-17,miles,52.25,"91.67 miles at $0.57/mile - Nutrition education outreach"
MEALS ON WHEELS AMERICA,2025-05-24,cash,185.00,Memorial Day senior support
FEEDING AMERICA,2025-06-03,cash,275.00,Monthly food security support
FOOD FOR THE POOR,2025-06-10,items,295.00,"ITEMS:[Juicer - Commercial|Kitchen Items|excellent|1|220.00][Citrus Press|Kitchen Items|very_good|1|45.00][Juice Containers|Kitchen Items|good|6|30.00]"
Summer Youth Nutrition,2025-06-17,cash,240.00,Healthy summer meals
LOCAL FOOD BANK,2025-06-24,stock,800.00,Tyson Foods - 16 shares at $50.00/share
FEEDING AMERICA,2025-07-03,cash,275.00,Monthly food security support
MEALS ON WHEELS AMERICA,2025-07-10,items,315.00,"ITEMS:[Ice Cream Maker|Kitchen Items|excellent|1|180.00][Smoothie Maker|Kitchen Items|very_good|2|90.00][Ice Crusher|Kitchen Items|good|1|45.00]"
Community BBQ Program,2025-07-17,miles,68.40,"120 miles at $0.57/mile - Summer cookout coordination"
Youth Cooking Classes,2025-07-24,cash,200.00,Culinary skills development
FEEDING AMERICA,2025-08-03,cash,275.00,Monthly food security support
FOOD FOR THE POOR,2025-08-10,crypto,300.00,Bitcoin for school lunch program
LOCAL FOOD BANK,2025-08-17,items,285.00,"ITEMS:[Food Slicer|Kitchen Items|excellent|1|200.00][Mandoline Slicer|Kitchen Items|very_good|1|55.00][Cutting Gloves|Other|good|3|30.00]"
Back to School Nutrition,2025-08-24,cash,225.00,Healthy lunch initiative
FEEDING AMERICA,2025-09-03,cash,275.00,Monthly food security support
MEALS ON WHEELS AMERICA,2025-09-10,stock,900.00,Unilever - 18 shares at $50.00/share
Community Harvest Festival,2025-09-17,items,265.00,"ITEMS:[Canning Equipment|Kitchen Items|excellent|1|150.00][Pressure Canner|Kitchen Items|very_good|1|85.00][Canning Jars|Kitchen Items|good|24|30.00]"
FOOD FOR THE POOR,2025-09-24,miles,56.05,"98.5 miles at $0.57/mile - Harvest donation coordination"
FEEDING AMERICA,2025-10-03,cash,275.00,Monthly food security support
LOCAL FOOD BANK,2025-10-10,items,295.00,"ITEMS:[Candy Thermometer|Kitchen Items|excellent|2|60.00][Deep Fryer|Kitchen Items|very_good|1|120.00][Strainer Set|Kitchen Items|good|6|45.00][Oil Dispenser|Kitchen Items|excellent|2|70.00]"
Halloween Healthy Treats,2025-10-17,cash,160.00,Alternative candy program
MEALS ON WHEELS AMERICA,2025-10-24,cash,190.00,Halloween senior meals
FEEDING AMERICA,2025-11-03,cash,275.00,Monthly food security support
FOOD FOR THE POOR,2025-11-10,items,345.00,"ITEMS:[Turkey Fryer|Kitchen Items|excellent|1|250.00][Meat Thermometer|Kitchen Items|very_good|3|60.00][Roasting Pan|Kitchen Items|good|2|35.00]"
Thanksgiving Food Drive,2025-11-17,miles,73.53,"129 miles at $0.57/mile - Multi-site coordination"
LOCAL FOOD BANK,2025-11-24,cash,450.00,Thanksgiving meal boxes
FEEDING AMERICA,2025-12-03,cash,275.00,Monthly food security support
MEALS ON WHEELS AMERICA,2025-12-10,crypto,400.00,Ethereum for holiday meal expansion
Community Winter Shelter,2025-12-17,items,315.00,"ITEMS:[Hot Chocolate Maker|Kitchen Items|excellent|1|180.00][Soup Kettles|Kitchen Items|very_good|2|100.00][Ladles|Kitchen Items|good|6|35.00]"
Holiday Meal Distribution,2025-12-24,stock,1100.00,Hormel Foods - 22 shares at $50.00/share
FEEDING AMERICA,2026-01-03,cash,300.00,Monthly food security support - Major donor commitment
MEALS ON WHEELS AMERICA,2026-01-10,cash,400.00,New Year nutrition expansion
FOOD FOR THE POOR,2026-01-17,items,375.00,"ITEMS:[Walk-in Freezer Unit|Electronics|excellent|1|300.00][Temperature Monitor|Electronics|very_good|1|75.00]"
LOCAL FOOD BANK,2026-01-24,miles,62.70,"110 miles at $0.57/mile - Winter outreach program"
FEEDING AMERICA,2026-02-03,cash,300.00,Monthly food security support
Youth Nutrition Alliance,2026-02-08,stock,1000.00,Kellogg Company - 20 shares at $50.00/share
MEALS ON WHEELS AMERICA,2026-02-15,items,295.00,"ITEMS:[Commercial Steamer|Kitchen Items|excellent|1|220.00][Steam Baskets|Kitchen Items|very_good|6|75.00]"
Community Food Security,2026-02-22,cash,275.00,Emergency food fund
FEEDING AMERICA,2026-03-03,cash,300.00,Monthly food security support
FOOD FOR THE POOR,2026-03-10,crypto,500.00,Bitcoin for global hunger relief
LOCAL FOOD BANK,2026-03-17,items,335.00,"ITEMS:[Mobile Kitchen Unit|Kitchen Items|excellent|1|280.00][Portable Sinks|Kitchen Items|very_good|1|55.00]"
Spring Food Festival,2026-03-24,miles,48.45,"85 miles at $0.57/mile - Community celebration"
FEEDING AMERICA,2026-04-03,cash,300.00,Monthly food security support
MEALS ON WHEELS AMERICA,2026-04-10,stock,950.00,Nestlé - 19 shares at $50.00/share
Youth Garden Program,2026-04-17,items,265.00,"ITEMS:[Greenhouse Kit|Other|excellent|1|200.00][Gardening Tools - Youth|Tools & Equipment|very_good|10|65.00]"
FOOD FOR THE POOR,2026-04-24,cash,325.00,Spring planting initiative
FEEDING AMERICA,2026-05-01,cash,300.00,Monthly food security support - Final major commitment
