charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_3_name,item_3_category,item_3_condition,item_3_quantity
PENCILS OF PROMISE,2024-04-01,miles,115.24,172 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
KHAN ACADEMY,2024-03-31,cash,500,Special appeal,,,,,,,,,,,,
WORLD WILDLIFE FUND,2024-04-09,stock,6334.22,Amazon - 38 shares at $166.69/share,,,,,,,,,,,,
PENCILS OF PROMISE,2024-04-11,cash,500,Annual contribution,,,,,,,,,,,,
Community Environment Center,2024-04-09,cash,300,Special appeal,,,,,,,,,,,,
NATURE CONSERVANCY,2024-04-06,crypto,1067.2,Bitcoin donation - 0.0257 units,,,,,,,,,,,,
PENCILS OF PROMISE,2024-04-08,crypto,29.85,Cardano donation - 50.54 units,,,,,,,,,,,,
NATURE CONSERVANCY,2024-04-20,items,,Year-end donation,Chainsaw,Tools & Equipment,excellent,2,Level,Tools & Equipment,very_good,1,,,,
OCEAN CONSERVANCY,2024-04-20,crypto,50.23,Cardano donation - 113.16 units,,,,,,,,,,,,
KHAN ACADEMY,2024-04-24,cash,150,Year-end giving,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-04-25,cash,250,Year-end giving,,,,,,,,,,,,
KHAN ACADEMY,2024-04-21,stock,5953.2,Apple Inc. - 37 shares at $160.90/share,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-04-29,cash,500,Year-end giving,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-04-30,miles,18.76,28 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-05-06,miles,58.96,88 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
KHAN ACADEMY,2024-05-03,miles,76.38,114 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
NATIONAL AUDUBON SOCIETY,2024-05-05,cash,100,Year-end giving,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-05-10,cash,200,General support,,,,,,,,,,,,
KHAN ACADEMY,2024-05-16,items,,Seasonal donation,Tent - 4 Person,Sports & Recreation,good,1,Golf Bag,Sports & Recreation,good,1,,,,
ENVIRONMENTAL DEFENSE FUND,2024-05-10,items,,Estate donation,Tool Chest,Tools & Equipment,excellent,1,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-05-18,miles,124.62,186 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
ENVIRONMENTAL DEFENSE FUND,2024-05-21,crypto,124.14,Ethereum donation - 0.0424 units,,,,,,,,,,,,
OCEAN CONSERVANCY,2024-05-26,miles,62.31,93 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
NATIONAL AUDUBON SOCIETY,2024-05-28,stock,2530.24,Tesla - 10 shares at $253.02/share,,,,,,,,,,,,
PENCILS OF PROMISE,2024-05-23,miles,56.28,84 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
NATIONAL AUDUBON SOCIETY,2024-05-30,cash,400,Special appeal,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-06-05,stock,4792.12,Apple Inc. - 28 shares at $171.15/share,,,,,,,,,,,,
NATURE CONSERVANCY,2024-06-02,stock,4558.08,Tesla - 21 shares at $217.05/share,,,,,,,,,,,,
NATURE CONSERVANCY,2024-06-09,miles,32.83,49 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
PENCILS OF PROMISE,2024-06-07,items,,Spring cleaning donation,Juicer,Appliances,good,1,,,,,,,,
PENCILS OF PROMISE,2024-06-10,items,,Year-end donation,Tool Chest,Tools & Equipment,good,2,Level,Tools & Equipment,very_good,3,Lawn Mower - Push,Tools & Equipment,good,1
OCEAN CONSERVANCY,2024-06-08,items,,Seasonal donation,Fan - Ceiling,Appliances,good,2,Instant Pot,Appliances,excellent,3,,,,
PENCILS OF PROMISE,2024-06-10,cash,75,Monthly donation,,,,,,,,,,,,
ENVIRONMENTAL DEFENSE FUND,2024-06-18,stock,5022.54,Tesla - 24 shares at $209.27/share,,,,,,,,,,,,
WORLD WILDLIFE FUND,2024-06-21,items,,Moving donation,Scooter - Electric,Sports & Recreation,very_good,3,Roller Blades,Sports & Recreation,excellent,1,Life Jacket,Sports & Recreation,good,1
AMERICAN DIABETES ASSOCIATION,2024-06-24,cash,100,Special appeal,,,,,,,,,,,,
OCEAN CONSERVANCY,2024-06-24,items,,Seasonal donation,Saw - Circular,Tools & Equipment,good,1,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-06-26,stock,5179.82,Amazon - 35 shares at $147.99/share,,,,,,,,,,,,
KHAN ACADEMY,2024-07-02,cash,50,General support,,,,,,,,,,,,
NATURE CONSERVANCY,2024-07-06,cash,100,General support,,,,,,,,,,,,
NATURE CONSERVANCY,2024-07-02,cash,50,Year-end giving,,,,,,,,,,,,
KHAN ACADEMY,2024-07-03,cash,500,General support,,,,,,,,,,,,
PENCILS OF PROMISE,2024-07-13,items,,Moving donation,Saw - Miter,Tools & Equipment,very_good,4,Pliers Set,Tools & Equipment,excellent,1,,,,
Local Environment Foundation,2024-07-07,cash,400,Emergency fund,,,,,,,,,,,,
Community Environment Center,2024-07-09,items,,Year-end donation,Golf Clubs - Iron Set,Sports & Recreation,good,1,,,,,,,,
WORLD WILDLIFE FUND,2024-07-16,items,,Seasonal donation,Vacuum - Robot,Appliances,good,1,,,,,,,,
SIERRA CLUB FOUNDATION,2024-07-17,cash,300,General support,,,,,,,,,,,,
ENVIRONMENTAL DEFENSE FUND,2024-07-26,items,,Spring cleaning donation,Cooler,Sports & Recreation,good,1,Baseball Glove,Sports & Recreation,excellent,1,Tennis Racket - Regular,Sports & Recreation,very_good,1
KHAN ACADEMY,2024-07-21,items,,Estate donation,Hose Reel,Tools & Equipment,good,4,,,,,,,,
NATURE CONSERVANCY,2024-07-25,cash,150,Emergency fund,,,,,,,,,,,,
Community Environment Center,2024-08-03,miles,26.13,39 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
NATIONAL AUDUBON SOCIETY,2024-08-01,cash,150,Emergency fund,,,,,,,,,,,,
PENCILS OF PROMISE,2024-08-01,cash,300,Year-end giving,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-08-08,items,,Estate donation,Mixer - Stand,Appliances,very_good,4,,,,,,,,
SIERRA CLUB FOUNDATION,2024-08-12,items,,Spring cleaning donation,Skis - Downhill,Sports & Recreation,very_good,1,Golf Cart,Sports & Recreation,good,1,Hockey Stick,Sports & Recreation,excellent,2
ENVIRONMENTAL DEFENSE FUND,2024-08-14,miles,54.94,82 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
Community Environment Center,2024-08-07,items,,Decluttering donation,Camping Stove,Sports & Recreation,good,1,Lacrosse Stick,Sports & Recreation,good,1,,,,
SIERRA CLUB FOUNDATION,2024-08-14,items,,Moving donation,Nail Gun,Tools & Equipment,good,2,Lawn Mower - Riding,Tools & Equipment,very_good,1,Wrench Set,Tools & Equipment,excellent,4
ALZHEIMERS ASSOCIATION,2024-08-16,stock,2036.53,Alphabet - 13 shares at $156.66/share,,,,,,,,,,,,
NATURE CONSERVANCY,2024-08-19,items,,Seasonal donation,Ski Poles,Sports & Recreation,very_good,3,Fishing Rod - Regular,Sports & Recreation,good,2,,,,
SIERRA CLUB FOUNDATION,2024-08-22,cash,50,Year-end giving,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-08-21,crypto,67.9,Cardano donation - 141.97 units,,,,,,,,,,,,
KHAN ACADEMY,2024-08-31,cash,100,Annual contribution,,,,,,,,,,,,
NATURE CONSERVANCY,2024-08-27,cash,200,General support,,,,,,,,,,,,
WORLD WILDLIFE FUND,2024-09-01,miles,42.21,63 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-09-06,cash,50,Year-end giving,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-09-03,cash,50,Annual contribution,,,,,,,,,,,,
ENVIRONMENTAL DEFENSE FUND,2024-09-03,cash,200,Annual contribution,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-09-08,items,,Estate donation,Lawn Mower - Riding,Tools & Equipment,very_good,2,Air Compressor,Tools & Equipment,excellent,1,,,,
NATURE CONSERVANCY,2024-09-18,stock,6853.21,Microsoft - 17 shares at $403.13/share,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-09-15,cash,100,Emergency fund,,,,,,,,,,,,
NATIONAL AUDUBON SOCIETY,2024-09-23,miles,44.89,67 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-09-22,cash,100,General support,,,,,,,,,,,,
Community Environment Center,2024-09-25,items,,Seasonal donation,Backpack - Hiking,Sports & Recreation,very_good,1,,,,,,,,
WORLD WILDLIFE FUND,2024-09-29,items,,Seasonal donation,Ladder - Step,Tools & Equipment,excellent,1,Router,Tools & Equipment,very_good,4,,,,
WORLD WILDLIFE FUND,2024-10-02,crypto,188.23,Cardano donation - 331.14 units,,,,,,,,,,,,
NATURE CONSERVANCY,2024-10-04,miles,106.53,159 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-10-04,cash,300,Special appeal,,,,,,,,,,,,
KHAN ACADEMY,2024-10-04,crypto,47.74,Cardano donation - 116.61 units,,,,,,,,,,,,
PENCILS OF PROMISE,2024-10-04,cash,75,General support,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-10-14,stock,11974.8,Microsoft - 32 shares at $374.21/share,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-10-13,items,,Decluttering donation,Instant Pot,Appliances,excellent,3,Air Purifier,Appliances,excellent,4,Air Conditioner - Window,Appliances,excellent,1
AMERICAN DIABETES ASSOCIATION,2024-10-18,items,,Year-end donation,Tennis Racket - Pro,Sports & Recreation,very_good,1,Golf Clubs - Full Set,Sports & Recreation,very_good,3,,,,
ALZHEIMERS ASSOCIATION,2024-10-18,items,,Decluttering donation,Saw - Hand,Tools & Equipment,good,2,Drill - Cordless,Tools & Equipment,very_good,3,Screwdriver Set,Tools & Equipment,very_good,1
WORLD WILDLIFE FUND,2024-10-22,miles,93.8,140 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-10-22,cash,200,Annual contribution,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-10-20,items,,Spring cleaning donation,Tool Set - Basic,Tools & Equipment,good,4,,,,,,,,
OCEAN CONSERVANCY,2024-10-22,cash,200,Year-end giving,,,,,,,,,,,,
OCEAN CONSERVANCY,2024-10-26,stock,4405.56,Alphabet - 32 shares at $137.67/share,,,,,,,,,,,,
ENVIRONMENTAL DEFENSE FUND,2024-11-02,miles,130.65,195 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
KHAN ACADEMY,2024-10-29,cash,150,Year-end giving,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-11-02,items,,Decluttering donation,Lacrosse Stick,Sports & Recreation,excellent,4,Ski Boots,Sports & Recreation,excellent,1,Kayak,Sports & Recreation,very_good,1
PENCILS OF PROMISE,2024-11-10,items,,Seasonal donation,Tent - 4 Person,Sports & Recreation,very_good,1,,,,,,,,
WORLD WILDLIFE FUND,2024-11-11,cash,250,General support,,,,,,,,,,,,
ENVIRONMENTAL DEFENSE FUND,2024-11-13,miles,51.59,77 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
ENVIRONMENTAL DEFENSE FUND,2024-11-20,cash,400,Year-end giving,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-11-18,crypto,154.12,Bitcoin donation - 0.0042 units,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-11-14,items,,Moving donation,Microwave - Countertop,Appliances,good,1,Air Conditioner - Window,Appliances,excellent,2,Dehumidifier,Appliances,very_good,1
WORLD WILDLIFE FUND,2024-11-19,items,,Estate donation,Tool Set - Mechanics,Tools & Equipment,good,1,,,,,,,,
KHAN ACADEMY,2024-11-29,cash,300,Special appeal,,,,,,,,,,,,
PENCILS OF PROMISE,2024-11-26,stock,711.04,Alphabet - 5 shares at $142.21/share,,,,,,,,,,,,
Community Environment Center,2024-11-25,cash,75,General support,,,,,,,,,,,,
PENCILS OF PROMISE,2024-12-06,stock,4339.64,Tesla - 18 shares at $241.09/share,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-12-01,miles,54.94,82 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
NATURE CONSERVANCY,2024-12-02,stock,3278.65,Tesla - 13 shares at $252.20/share,,,,,,,,,,,,
NATURE CONSERVANCY,2024-12-07,crypto,107.51,Cardano donation - 188.53 units,,,,,,,,,,,,
WORLD WILDLIFE FUND,2024-12-09,items,,Moving donation,Range - Gas,Appliances,very_good,3,Dishwasher,Appliances,good,1,Vacuum - Dyson,Appliances,very_good,1
PENCILS OF PROMISE,2024-12-13,cash,100,General support,,,,,,,,,,,,
OCEAN CONSERVANCY,2024-12-20,items,,Spring cleaning donation,Kettlebell Set,Sports & Recreation,good,4,Basketball,Sports & Recreation,good,3,Hockey Skates,Sports & Recreation,excellent,1
NATURE CONSERVANCY,2024-12-21,items,,Year-end donation,Workbench,Tools & Equipment,excellent,1,Sander,Tools & Equipment,very_good,1,Saw - Jigsaw,Tools & Equipment,good,1
WORLD WILDLIFE FUND,2024-12-17,miles,60.3,90 miles at $0.67/mile - Event transportation,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-12-28,cash,250,Annual contribution,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-12-22,items,,Spring cleaning donation,Washer,Appliances,very_good,1,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-12-29,cash,200,Annual contribution,,,,,,,,,,,,
